"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3908","30.67%"
"Central Mississippi Correctional Facility","3665","3121","24.49%"
"South Mississippi Correctional Institution","3204","2918","22.90%"
"County Jails - Approved*","1486","971","7.62%"
"County Jails - Unapproved**","0","239","1.88%"
"Community Work Centers","1848","1586","12.45%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14638","12743","100.00%"
"Bolivar County Correctional Facility","294","279","9.55%"
"Carroll County Correctional Facility","280","263","9.00%"
"George County Correctional Facility","280","267","9.14%"
"Holmes County Correctional Facility","280","265","9.07%"
"Issaquena County Correctional Facility","274","261","8.94%"
"Jefferson County Correctional Facility","280","260","8.90%"
"Kemper County Correctional Facility","355","265","9.07%"
"Leake County Correctional Facility","280","265","9.07%"
"Marion County Correctional Facility","280","265","9.07%"
"Stone County Correctional Facility","280","266","9.11%"
"Winston County Correctional Facility","280","265","9.07%"
"TOTAL REGIONAL FACILITIES","3163","2921","100.00%"
"Delta Correctional Facility","972","955","17.26%"
"East MS Correctional Facility","1500","1361","24.59%"
"Marshall County Correctional Facility","1000","980","17.71%"
"Walnut Grove Correctional Facility","1500","1265","22.86%"
"Wilkinson County Correctional Facility","1000","973","17.58%"
"TOTAL PRIVATE PRISONS","5972","5534","100.00%"
"Community Trusties","022","17","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","87","0.35%"
"Court Order","0","258","1.04%"
"TOTAL CAPACITY & CUSTODY POPULATION","23795","21560","86.99%"
"Intensive Supervision Program","0","1296","5.23%"
"Earned Release Supervision Program","00","1483","5.98%"
"Medical Release","0","35","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","2814","11.35%"
"Other Custody","0","353","1.42%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","48","0.19%"
"TOTAL","23795","24784","100.00%"
