"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,590","3,345","16.20%"
"Central Mississippi Correctional Facility","3,750","3,183","15.41%"
"South Mississippi Correctional Institution","3,082","3,038","14.71%"
"Youthful Offender Facility","58","31","0.15%"
"County Jails - Approved","1,781","699","3.38%"
"County Jails - Unapproved","0","360","1.74%"
"Community Work Centers","1,154","709","3.43%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,365","55.03%"
"Alcorn County Correctional Facility","300","239","1.16%"
"Bolivar County Correctional Facility","369","294","1.42%"
"Carroll County Correctional Facility","280","251","1.22%"
"Chickasaw County Correctional Facility","310","273","1.32%"
"George County Correctional Facility","280","273","1.32%"
"Holmes County Correctional Facility","280","224","1.08%"
"Issaquena County Correctional Facility","274","275","1.33%"
"Jefferson County Correctional Facility","280","278","1.35%"
"Kemper County Correctional Facility","355","352","1.70%"
"Leake County Correctional Facility","280","201","0.97%"
"Marion County Correctional Facility","280","224","1.08%"
"Stone County Correctional Facility","326","263","1.27%"
"Washington County Correctional Facility","300","216","1.05%"
"Winston County Correctional Facility","280","224","1.08%"
"Yazoo County Correctional Facility","300","236","1.14%"
"TOTAL REGIONAL FACILITIES","4,494","3,823","18.51%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,225","5.93%"
"Marshall County Correctional Facility","1,000","999","4.84%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","893","4.32%"
"TOTAL PRIVATE PRISONS","5,972","3,117","15.09%"
"Community Trusties","0","47",".23%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","51",".25%"
"TVC","0","8",".04%"
"Transitional Housing","0","30","0.2%"
"Court Order","0","236","1.14%"
"RRP","0","98",".47%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","18,775","90.91%"
"Intensive Supervision Program","0","715","3.46%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","641","3.10%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","12","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1,377","6.67%"
"Other Custody","0","459","2.22%"
"Off-Grounds Medical (Hospital)","0","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","30","0.15%"
"TOTAL","23,881","20,652","100.00%"
