"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3356","3077","24.48%"
"Central Mississippi Correctional Facility","3449","3160","25.14%"
"South Mississippi Correctional Institution","3204","3141","24.99%"
"County Jails - Approved*","1629","1312","10.44%"
"County Jails - Unapproved**","0","315","2.51%"
"Community Work Centers","1848","1564","12.44%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13486","12569","100.00%"
"Alcorn County Correctional Facility","300","245","7.49%"
"Bolivar County Correctional Facility","294","234","7.15%"
"Carroll County Correctional Facility","280","223","6.81%"
"Chickasaw County Correctional Facility","300","247","7.55%"
"George County Correctional Facility","280","223","6.81%"
"Holmes County Correctional Facility","280","224","6.84%"
"Issaquena County Correctional Facility","274","219","6.69%"
"Jefferson County Correctional Facility","280","221","6.75%"
"Kemper County Correctional Facility","355","284","8.68%"
"Leake County Correctional Facility","280","230","7.03%"
"Marion County Correctional Facility","280","224","6.84%"
"Stone County Correctional Facility","280","224","6.84%"
"Winston County Correctional Facility","280","225","6.87%"
"Yazoo County Correctional Facility","300","250","7.64%"
"TOTAL REGIONAL FACILITIES","4063","3273","100.00%"
"Delta Correctional Facility","972","902","17.56%"
"East MS Correctional Facility","1500","1352","26.32%"
"Marshall County Correctional Facility","1000","998","19.43%"
"Walnut Grove Correctional Facility","1500","995","19.37%"
"Wilkinson County Correctional Facility","1000","889","17.31%"
"TOTAL PRIVATE PRISONS","5972","5136","100.00%"
"Community Trusties","22","14",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","127",".51%"
"Court Order","0","295","1.19%"
"TOTAL CAPACITY & CUSTODY POPULATION","23543","21414","86.11%"
"Intensive Supervision Program","0","1539","6.19%"
"Earned Release Supervision Program","00","1437","5.78%"
"Medical Release","0","34",".14%"
"TOTAL COMMUNITY CORRECTIONS","00","3010","12.10%"
"Other Custody","0","398","1.60%"
"Off-Grounds Medical (Hospital)","00","10",".04%"
"At Large (Escapees & Walk-Aways)","0","37",".15%"
"TOTAL","23543","24869","100.00%"
