"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3361","25.37%"
"Central Mississippi Correctional Facility","3557","3245","24.50%"
"South Mississippi Correctional Institution","3282","3236","24.43%"
"Youthful Offender Facility","42","34","0.26%"
"County Jails - Approved*","1872","1565","11.81%"
"County Jails - Unapproved**","0","402","3.03%"
"Community Work Centers","1848","1404","10.60%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15249","13247","100.00%"
"Alcorn County Correctional Facility","300","298","6.73%"
"Bolivar County Correctional Facility","369","369","8.33%"
"Carroll County Correctional Facility","280","280","6.32%"
"Chickasaw County Correctional Facility","300","298","6.73%"
"George County Correctional Facility","280","280","6.32%"
"Holmes County Correctional Facility","280","279","6.30%"
"Issaquena County Correctional Facility","274","274","6.18%"
"Jefferson County Correctional Facility","280","278","6.27%"
"Kemper County Correctional Facility","355","355","8.01%"
"Leake County Correctional Facility","280","281","6.34%"
"Marion County Correctional Facility","280","280","6.32%"
"Stone County Correctional Facility","280","280","6.32%"
"Washington County Correctional Facility","300","299","6.75%"
"Winston County Correctional Facility","280","282","6.36%"
"Yazoo County Correctional Facility","300","298","6.73%"
"TOTAL REGIONAL FACILITIES","4438","4431","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1201","27.31%"
"Marshall County Correctional Facility","1000","998","22.70%"
"Walnut Grove Correctional Facility","1500","1308","29.75%"
"Wilkinson County Correctional Facility","1000","890","20.24%"
"TOTAL PRIVATE PRISONS","5972","4397","100.00%"
"Community Trusties","22","11",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","81",".31%"
"Court Order","0","356","1.36%"
"TOTAL CAPACITY & CUSTODY POPULATION","25681","22523","85.80%"
"Intensive Supervision Program","0","1520","5.79%"
"Earned Release Supervision Program","0","1668","6.35%"
"Medical Release","0","23",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3211","12.23%"
"Other Custody","0","479","1.82%"
"Off-Grounds Medical (Hospital)","0000","8",".03%"
"At Large (Escapees & Walk-Aways)","0","31",".12%"
"TOTAL","25681","26252","100.00%"
