"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5711","5593","40.23%"
"Central Mississippi Correctional Facility","3233","3034","21.82%"
"South Mississippi Correctional Institution","2214","2158","15.52%"
"County Jails - Approved*","2133","1738","12.50%"
"County Jails - Unapproved**","0","88","0.63%"
"Community Work Centers","1350","1293","9.30%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14641","13904","100.00%"
"Bolivar County Correctional Facility","250","226","9.10%"
"Carroll County Correctional Facility","250","227","9.14%"
"GeorgeCounty Correctional Facility","250","225","9.06%"
"Holmes County Correctional Facility","250","229","9.22%"
"Issaquena County Correctional Facility","250","227","9.14%"
"Jefferson County Correctional Facility","250","223","8.98%"
"Kemper County Correctional Facility","250","222","8.94%"
"Leake Correctional Facility","250","227","9.14%"
"Marion County Correctional Facility","250","227","9.14%"
"Stone County Correctional Facility","250","226","9.10%"
"Winston County Correctional Facility","250","225","9.06%"
"REGIONAL FACILITIES","2750","2484","100.00%"
"East MS Correctional Facility","1000","690","20.29%"
"Marshall County Correctional Facility","1000","984","28.93%"
"Walnut Grove Correctional Facility","750","738","21.70%"
"Wilkinson County Correctional Facility","1000","989","29.08%"
"TOTAL PRIVATE PRISONS","3750","3401","100.00%"
"Community Trusties","30","19","0.08%"
"Emergency Suspension","0","12","0.05%"
"Court Order","0","325","1.41%"
"TOTAL CAPACITY & CUSTODY POPULATION","21171","20145","87.28%"
"Intensive Supervision Program","0","1511","6.55%"
"Earned Release Supervision Program","0","1094","4.74%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2605","11.29%"
"Other Custody","0","171","0.74%"
"University of MS Medical Center","0","12","0.05%"
"At Large (Escapees & Walk-Aways)","0","148","0.64%"
"TOTAL","21171","23081","100.00%"
