"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5832","5731","40.75%"
"Central Mississippi Correctional Facility","3233","3156","22.44%"
"South Mississippi Correctional Institution","2216","2140","15.22%"
"County Jails - Approved*","2133","1632","11.60%"
"County Jails - Unapproved**","0","107","0.76%"
"Community Work Centers","1816","1299","9.24%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15230","14065","100.00%"
"Bolivar County Correctional Facility","250","232","8.96%"
"Carroll County Correctional Facility","250","236","9.12%"
"GeorgeCounty Correctional Facility","250","233","9.00%"
"Holmes County Correctional Facility","250","235","9.08%"
"Issaquena County Correctional Facility","250","243","9.39%"
"Jefferson County Correctional Facility","250","234","9.04%"
"Kemper County Correctional Facility","250","236","9.12%"
"Leake Correctional Facility","250","236","9.12%"
"Marion County Correctional Facility","250","235","9.08%"
"Stone County Correctional Facility","250","234","9.04%"
"Winston County Correctional Facility","250","234","9.04%"
"TOTAL REGIONAL FACILITIES","2750","2588","100.00%"
"East MS Correctional Facility","1000","686","20.37%"
"Marshall County Correctional Facility","1000","975","28.95%"
"Walnut Grove Correctional Facility","750","709","21.05%"
"Wilkinson County Correctional Facility","1000","998","29.63%"
"TOTAL PRIVATE PRISONS","3750","3368","100.00%"
"Community Trusties","30","26","0.11%"
"Emergency Suspension","0","5","0.02%"
"Court Order","0","377","1.62%"
"TOTAL CAPACITY & CUSTODY POPULATION","21760","20429","87.75%"
"Intensive Supervision Program","0","1385","5.95%"
"Earned Release Supervision Program","0","1128","4.84%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2513","10.79%"
"Other Custody","0","182","0.78%"
"University of MS Medical Center","0","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","146","0.63%"
"TOTAL","21760","23282","100.00%"
