"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3298","25.83%"
"Central Mississippi Correctional Facility","3665","3060","23.97%"
"South Mississippi Correctional Institution","3282","3167","24.81%"
"County Jails - Approved*","1753","1225","9.60%"
"County Jails - Unapproved**","0","456","3.57%"
"Community Work Centers","1848","1561","12.23%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15196","12767","100.00%"
"Alcorn County Correctional Facility","300","295","6.91%"
"Bolivar County Correctional Facility","294","292","6.84%"
"Carroll County Correctional Facility","280","279","6.53%"
"Chickasaw County Correctional Facility","300","297","6.95%"
"George County Correctional Facility","280","279","6.53%"
"Holmes County Correctional Facility","280","279","6.53%"
"Issaquena County Correctional Facility","274","274","6.42%"
"Jefferson County Correctional Facility","280","278","6.51%"
"Kemper County Correctional Facility","355","337","7.89%"
"Leake County Correctional Facility","280","279","6.53%"
"Marion County Correctional Facility","280","279","6.53%"
"Stone County Correctional Facility","280","280","6.56%"
"Washington County Correctional Facility","300","243","5.69%"
"Winston County Correctional Facility","280","281","6.58%"
"Yazoo County Correctional Facility","300","299","7.00%"
"TOTAL REGIONAL FACILITIES","4363","4271","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1360","31.69%"
"Marshall County Correctional Facility","1000","981","22.86%"
"Walnut Grove Correctional Facility","1500","1044","24.33%"
"Wilkinson County Correctional Facility","1000","906","21.11%"
"TOTAL PRIVATE PRISONS","5972","4291","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","45",".18%"
"Court Order","0","443","1.74%"
"TOTAL CAPACITY & CUSTODY POPULATION","25553","21829","85.49%"
"Intensive Supervision Program","0","1581","6.19%"
"Earned Release Supervision Program","0","1617","6.33%"
"Medical Release","0","25",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3223","12.62%"
"Other Custody","0000","437","1.71%"
"Off-Grounds Medical (Hospital)","0","8",".03%"
"At Large (Escapees & Walk-Aways)","0","36",".14%"
"TOTAL","25553","25533","100.00%"
