"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,590","3,233","15.35%"
"Central Mississippi Correctional Facility","4,094","3,603","17.10%"
"South Mississippi Correctional Institution","3,082","2,635","12.51%"
"Youthful Offender Facility","58","26","0.12%"
"County Jails - Approved","1,781","738","3.50%"
"County Jails - Unapproved","0","338","1.60%"
"Community Work Centers","1,154","535","2.54%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,759","11,108","52.73%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","299","1.42%"
"Bolivar County Correctional Facility","369","291","1.38%"
"Carroll County Correctional Facility","280","273","1.30%"
"Chickasaw County Correctional Facility","310","310","1.47%"
"George County Correctional Facility","280","334","1.59%"
"Holmes County Correctional Facility","280","275","1.31%"
"Issaquena County Correctional Facility","274","322","1.53%"
"Jefferson County Correctional Facility","280","279","1.32%"
"Kemper County Correctional Facility","355","350","1.66%"
"Leake County Correctional Facility","280","275","1.31%"
"Marion County Correctional Facility","280","278","1.32%"
"Stone County Correctional Facility","326","278","1.32%"
"Washington County Correctional Facility","300","161","0.76%"
"Winston County Correctional Facility","280","270","1.28%"
"Yazoo County Correctional Facility","300","300","1.42%"
"TOTAL REGIONAL FACILITIES","4,494","4,295","20.39%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,235","5.86%"
"Marshall County Correctional Facility","1,000","995","4.72%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","946","4.49%"
"TOTAL PRIVATE PRISONS","5,972","3,176","15.08%"
"Community Trusties","0","8",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","124",".59%"
"TVC","0","68",".32%"
"Transitional Housing","0","9",".04%"
"Court Order","0","203",".96%"
"RRP","0","85",".40%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","19,076","90.56%"
"Intensive Supervision Program","0","876","4.16%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","568","2.70%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","16","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1,469","6.97%"
"Other Custody","0","486","2.31%"
"Off-Grounds Medical (Hospital)","0","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","24,225","21,065","100.00%"
