"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,648","3,066","13.57%"
"Central Mississippi Correctional Facility","3,469","2,186","9.68%"
"South Mississippi Correctional Institution","3,282","2,714","12.02%"
"Youthful Offender Facility","58","32","0.14%"
"County Jails - Approved*","1,973","1,225","5.42%"
"County Jails - Unapproved**","0","92","0.41%"
"Community Work Centers","1,870","1,066","4.72%"
"TVC","0","2","0.01%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,300","10,383","45.97%"
"Alcorn County Correctional Facility","300","298","1.32%"
"Bolivar County Correctional Facility","367","357","1.58%"
"Carroll County Correctional Facility","274","270","1.20%"
"Chickasaw County Correctional Facility","299","300","1.33%"
"George County Correctional Facility","271","270","1.20%"
"Holmes County Correctional Facility","268","265","1.17%"
"Issaquena County Correctional Facility","274","260","1.15%"
"Jefferson County Correctional Facility","280","269","1.19%"
"Kemper County Correctional Facility","355","340","1.51%"
"Leake County Correctional Facility","280","256","1.13%"
"Marion County Correctional Facility","280","278","1.23%"
"Stone County Correctional Facility","280","279","1.24%"
"Washington County Correctional Facility","300","279","1.24%"
"Winston County Correctional Facility","280","268","1.19%"
"Yazoo County Correctional Facility","300","281","1.24%"
"TOTAL REGIONAL FACILITIES","4,408","4,270","18.91%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,186","5.25%"
"Marshall County Correctional Facility","1,000","998","4.42%"
"Walnut Grove Correctional Facility","1,500","1,298","5.75%"
"Wilkinson County Correctional Facility","1,000","827","3.66%"
"TOTAL PRIVATE PRISONS","5,972","4,309","19.08%"
"Community Trusties","0","5",".02%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","200",".89%"
"Court Order","0","229","1.01%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,680","19,396","85.88%"
"Intensive Supervision Program","0","1,425","6.31%"
"Earned Release Supervision Program","0","1,206","5.34%"
"Medical Release","0","20","0.09%"
"TOTAL COMMUNITY CORRECTIONS","0","2,651","11.74%"
"Other Custody","0","504","2.23%"
"Transitional Housing","0","2","0.01%"
"Off-Grounds Medical (Hospital)","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","28","0.12%"
"TOTAL","25,680","22,586","100.00%"
