"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,348","24.84%"
"Central Mississippi Correctional Facility","3,557","3,362","24.94%"
"South Mississippi Correctional Institution","3,282","3,229","23.95%"
"Youthful Offender Facility","42","29",""
"County Jails - Approved*","1,872","1,531","11.36%"
"County Jails - Unapproved**","0","424","3.15%"
"Community Work Centers","1,848","1,557","11.55%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,249","13,480","99.78%"
"Alcorn County Correctional Facility","300","297","6.71%"
"Bolivar County Correctional Facility","369","369","8.33%"
"Carroll County Correctional Facility","280","280","6.32%"
"Chickasaw County Correctional Facility","300","300","6.77%"
"George County Correctional Facility","280","281","6.34%"
"Holmes County Correctional Facility","280","278","6.28%"
"Issaquena County Correctional Facility","274","274","6.19%"
"Jefferson County Correctional Facility","280","280","6.32%"
"Kemper County Correctional Facility","355","355","8.02%"
"Leake County Correctional Facility","280","280","6.32%"
"Marion County Correctional Facility","280","280","6.32%"
"Stone County Correctional Facility","280","280","6.32%"
"Washington County Correctional Facility","300","296","6.68%"
"Winston County Correctional Facility","280","279","6.30%"
"Yazoo County Correctional Facility","300","300","6.77%"
"TOTAL REGIONAL FACILITIES","4,438","4,429","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,121","26.20%"
"Marshall County Correctional Facility","1,000","997","23.31%"
"Walnut Grove Correctional Facility","1,500","1,272","29.73%"
"Wilkinson County Correctional Facility","1,000","888","20.76%"
"TOTAL PRIVATE PRISONS","5,972","4,278","100.00%"
"Community Trusties","22","11",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","72",".27%"
"Court Order","0","359","1.36%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,681","22,629","85.50%"
"Intensive Supervision Program","0","1,618","6.11%"
"Earned Release Supervision Program","0","1,670","6.31%"
"Medical Release","0","26",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3,314","12.52%"
"Other Custody","0","482","1.82%"
"Off-Grounds Medical (Hospital)","0000","9",".03%"
"At Large (Escapees & Walk-Aways)","0","33",".12%"
"TOTAL","25,681","26,467","100.00%"
