"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5631","5488","40.01%"
"Central Mississippi Correctional Facility","3099","3066","22.35%"
"South Mississippi Correctional Institution","2214","2106","15.35%"
"County Jails - Approved*","2113","1677","12.22%"
"County Jails - Unapproved**","0","84","0.61%"
"Community Work Centers","1350","1297","9.45%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14407","13718","100.00%"
"Bolivar County Correctional Facility","250","228","9.10%"
"Carroll County Correctional Facility","250","229","9.14%"
"GeorgeCounty Correctional Facility","250","227","9.06%"
"Holmes County Correctional Facility","250","228","9.10%"
"Issaquena County Correctional Facility","250","229","9.14%"
"Jefferson County Correctional Facility","250","227","9.06%"
"Kemper County Correctional Facility","250","226","9.02%"
"Leake Correctional Facility","250","227","9.06%"
"Marion County Correctional Facility","250","231","9.22%"
"Stone County Correctional Facility","250","227","9.06%"
"Winston County Correctional Facility","250","227","9.06%"
"REGIONAL FACILITIES","2750","2506","100.00%"
"East MS Correctional Facility","1000","728","21.22%"
"Marshall County Correctional Facility","1000","979","28.53%"
"Walnut Grove Correctional Facility","750","732","21.33%"
"Wilkinson County Correctional Facility","1000","992","28.91%"
"TOTAL PRIVATE PRISONS","3750","3431","100.00%"
"Community Trusties","30","18","0.08%"
"Emergency Suspension","0","10","0.04%"
"Court Order","0","247","1.08%"
"TOTAL CAPACITY & CUSTODY POPULATION","20937","19930","87.35%"
"Intensive Supervision Program","0","1492","6.54%"
"Earned Release Supervision Program","0","1047","4.59%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2539","11.13%"
"Other Custody","0","244","1.07%"
"University of MS Medical Center","0","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","97","0.43%"
"TOTAL","20937","22816","100.00%"
