"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,590","3,355","16.11%"
"Central Mississippi Correctional Facility","3,882","3,338","16.03%"
"South Mississippi Correctional Institution","3,082","3,067","14.73%"
"Youthful Offender Facility","58","25","0.12%"
"County Jails - Approved*","1,781","789","3.79%"
"County Jails - Unapproved**","0","322","1.55%"
"Community Work Centers","1,364","797","3.83%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,757","11,693","56.15%"
"Alcorn County Correctional Facility","300","232","1.11%"
"Bolivar County Correctional Facility","369","291","1.40%"
"Carroll County Correctional Facility","280","262","1.26%"
"Chickasaw County Correctional Facility","310","266","1.28%"
"George County Correctional Facility","280","220","1.06%"
"Holmes County Correctional Facility","280","223","1.07%"
"Issaquena County Correctional Facility","274","274","1.32%"
"Jefferson County Correctional Facility","280","279","1.34%"
"Kemper County Correctional Facility","355","351","1.69%"
"Leake County Correctional Facility","280","199","0.96%"
"Marion County Correctional Facility","280","239","1.15%"
"Stone County Correctional Facility","326","295","1.42%"
"Washington County Correctional Facility","300","202","0.97%"
"Winston County Correctional Facility","280","227","1.09%"
"Yazoo County Correctional Facility","300","241","1.16%"
"TOTAL REGIONAL FACILITIES","4,494","3,801","18.25%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,155","5.55%"
"Marshall County Correctional Facility","1,000","993","4.77%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","892","4.28%"
"TOTAL PRIVATE PRISONS","5,972","3,040","14.60%"
"Community Trusties","16","33",".16%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","83",".40%"
"TVC","0","15",".07%"
"Court Order","0","261","1.25%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,223","18,926","90.89%"
"Intensive Supervision Program","0","721","3.46%"
"Earned Release Supervision Program","0","555","2.67%"
"Transitional Housing","0","1","0.00%"
"Failure to Register-Monitoring","0","4","0.02%"
"Conditional Release","0","2","0.01%"
"RRP","0","61","0.29%"
"Medical Release","0","11","0.05%"
"TOTAL COMMUNITY CORRECTIONS","0","1,355","6.51%"
"Other Custody","0","506","2.43%"
"Off-Grounds Medical (Hospital)","0","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","27","0.13%"
"TOTAL","24,223","20,824","100.00%"
