"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3300","27.48%"
"Central Mississippi Correctional Facility","3557","2745","22.86%"
"South Mississippi Correctional Institution","3282","3214","26.76%"
"Youthful Offender Facility","42","35","0.29%"
"County Jails - Approved*","1973","1338","11.14%"
"County Jails - Unapproved**","0","202","1.68%"
"Community Work Centers","1848","1175","9.78%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15350","12009","100.00%"
"Alcorn County Correctional Facility","300","298","6.76%"
"Bolivar County Correctional Facility","369","370","8.40%"
"Carroll County Correctional Facility","280","275","6.24%"
"Chickasaw County Correctional Facility","300","297","6.74%"
"George County Correctional Facility","280","279","6.33%"
"Holmes County Correctional Facility","280","276","6.26%"
"Issaquena County Correctional Facility","274","273","6.19%"
"Jefferson County Correctional Facility","280","280","6.35%"
"Kemper County Correctional Facility","355","354","8.03%"
"Leake County Correctional Facility","280","276","6.26%"
"Marion County Correctional Facility","280","280","6.35%"
"Stone County Correctional Facility","280","278","6.31%"
"Washington County Correctional Facility","300","293","6.65%"
"Winston County Correctional Facility","280","278","6.31%"
"Yazoo County Correctional Facility","300","300","6.81%"
"TOTAL REGIONAL FACILITIES","4438","4407","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1202","27.65%"
"Marshall County Correctional Facility","1000","999","22.98%"
"Walnut Grove Correctional Facility","1500","1289","29.65%"
"Wilkinson County Correctional Facility","1000","857","19.71%"
"TOTAL PRIVATE PRISONS","5972","4347","100.00%"
"Community Trusties","22","11",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","78",".32%"
"Court Order","0","286","1.16%"
"TOTAL CAPACITY & CUSTODY POPULATION","25782","21138","85.46%"
"Intensive Supervision Program","0","1529","6.18%"
"Earned Release Supervision Program","0","1494","6.04%"
"Medical Release","0","24",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3047","12.32%"
"Other Custody","0","495","2.00%"
"Off-Grounds Medical (Hospital)","0000","24",".10%"
"At Large (Escapees & Walk-Aways)","0","30",".12%"
"TOTAL","25782","24734","100.00%"
