"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5551","5298","41.14%"
"Central Mississippi Correctional Facility","3049","2878","22.35%"
"South Mississippi Correctional Institution","2214","2031","15.77%"
"County Jails - Approved*","2137","1370","10.64%"
"County Jails - Unapproved**","0","19","0.15%"
"Community Work Centers","1328","1283","9.96%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14279","12879","100.00%"
"Bolivar County Correctional Facility","250","1","0.05%"
"Carroll County Correctional Facility","250","235","11.86%"
"Holmes County Correctional Facility","250","212","10.70%"
"Issaquena County Correctional Facility","250","213","10.75%"
"Jefferson County Correctional Facility","250","231","11.66%"
"Kemper County Correctional Facility","250","232","11.71%"
"Leake Correctional Facility","250","213","10.75%"
"Marion County Correctional Facility","250","210","10.60%"
"Stone County Correctional Facility","250","218","11.00%"
"Winston County Correctional Facility","250","216","10.90%"
"Regional Facilities","2500","1981","100.00%"
"Delta Correctional Facility","1000","847","23.64%"
"East MS Correctional Facility","500","502","14.01%"
"Marshall County Correctional Facility","1000","880","24.56%"
"Walnut Grove Correctional Facility","500","472","13.17%"
"Wilkinson County Correctional Facility","900","882","24.62%"
"TOTAL PRIVATE PRISONS","3900","3583","100.00%"
"Community Trusties","30","24","0.11%"
"Emergency Suspension","0","1","0.00%"
"Court Order","0","232","1.09%"
"TOTAL CAPACITY & CUSTODY POPULATION","20709","18700","87.79%"
"Intensive Supervision Program","0","1335","6.27%"
"Earned Release Supervision Program","0","981","4.61%"
"Medical Release","0","1","0.00%"
"Community Corrections","0","2317","10.88%"
"Other Custody","0","201","0.94%"
"University of MS Medical Center","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","76","0.36%"
"TOTAL","20709","21301","100.00%"
