"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4527","4199","28.90%"
"Central Mississippi Correctional Facility","3665","3765","25.91%"
"South Mississippi Correctional Institution","3204","3112","21.42%"
"County Jails - Approved*","1711","1494","10.28%"
"County Jails - Unapproved**","0","237","1.63%"
"Community Work Centers","1848","1723","11.86%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14955","14530","100.00%"
"Bolivar County Correctional Facility","294","292","9.47%"
"Carroll County Correctional Facility","280","279","9.05%"
"George County Correctional Facility","280","280","9.09%"
"Holmes County Correctional Facility","280","279","9.05%"
"Issaquena County Correctional Facility","274","274","8.89%"
"Jefferson County Correctional Facility","280","280","9.09%"
"Kemper County Correctional Facility","280","279","9.05%"
"Leake County Correctional Facility","280","279","9.05%"
"Marion County Correctional Facility","280","281","9.12%"
"Stone County Correctional Facility","280","280","9.09%"
"Winston County Correctional Facility","280","279","9.05%"
"TOTAL REGIONAL FACILITIES","3088","3082","100.00%"
"Delta Correctional Facility","972","966","20.15%"
"East MS Correctional Facility","1000","888","18.52%"
"Marshall County Correctional Facility","1000","998","20.81%"
"Walnut Grove Correctional Facility","1000","952","19.85%"
"Wilkinson County Correctional Facility","1000","991","20.67%"
"TOTAL PRIVATE PRISONS","4972","4795","100.00%"
"Community Trusties","022","16","0.06%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","72","0.27%"
"Court Order","0","328","1.25%"
"TOTAL CAPACITY & CUSTODY POPULATION","23037","22823","87.09%"
"Intensive Supervision Program","0","1177","4.49%"
"Earned Release Supervision Program","00","1788","6.82%"
"Medical Release","0","34","0.13%"
"TOTAL COMMUNITY CORRECTIONS","00","2999","11.44%"
"Other Custody","0","316","1.21%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","60","0.23%"
"TOTAL","23037","26205","100.00%"
