"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4627","4094","29.81%"
"Central Mississippi Correctional Facility","3665","3395","24.72%"
"South Mississippi Correctional Institution","3204","3095","22.54%"
"County Jails - Approved*","1767","1188","8.65%"
"County Jails - Unapproved**","0","291","2.12%"
"Community Work Centers","1848","1670","12.16%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15111","13733","100.00%"
"Bolivar County Correctional Facility","294","279","9.53%"
"Carroll County Correctional Facility","280","266","9.09%"
"George County Correctional Facility","280","266","9.09%"
"Holmes County Correctional Facility","280","266","9.09%"
"Issaquena County Correctional Facility","274","258","8.81%"
"Jefferson County Correctional Facility","280","264","9.02%"
"Kemper County Correctional Facility","280","265","9.05%"
"Leake County Correctional Facility","280","265","9.05%"
"Marion County Correctional Facility","280","266","9.09%"
"Stone County Correctional Facility","280","266","9.09%"
"Winston County Correctional Facility","280","266","9.09%"
"TOTAL REGIONAL FACILITIES","3088","2927","100.00%"
"Delta Correctional Facility","972","955","17.42%"
"East MS Correctional Facility","1500","1359","24.79%"
"Marshall County Correctional Facility","1000","982","17.91%"
"Walnut Grove Correctional Facility","1500","1212","22.10%"
"Wilkinson County Correctional Facility","1000","975","17.78%"
"TOTAL PRIVATE PRISONS","5972","5483","100.00%"
"Community Trusties","022","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","91","0.35%"
"Court Order","0","289","1.12%"
"TOTAL CAPACITY & CUSTODY POPULATION","24193","22541","87.34%"
"Intensive Supervision Program","0","1194","4.63%"
"Earned Release Supervision Program","00","1655","6.41%"
"Medical Release","0","36","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","2885","11.18%"
"Other Custody","0","326","1.26%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","49","0.19%"
"TOTAL","24193","25808","100.00%"
