"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3116","15.09%"
"Central Mississippi Correctional Facility","2923","2207","10.69%"
"South Mississippi Correctional Institution","2682","2536","12.28%"
"Youthful Offender Facility","58","21","0.10%"
"County Jails - Approved*","2009","696","3.37%"
"County Jails - Unapproved**","0","230","1.11%"
"Community Work Centers","1870","1124","5.44%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13132","9930","48.09%"
"Alcorn County Correctional Facility","300","300","1.45%"
"Bolivar County Correctional Facility","369","359","1.74%"
"Carroll County Correctional Facility","280","274","1.33%"
"Chickasaw County Correctional Facility","300","300","1.45%"
"George County Correctional Facility","280","278","1.35%"
"Holmes County Correctional Facility","280","272","1.32%"
"Issaquena County Correctional Facility","274","267","1.29%"
"Jefferson County Correctional Facility","280","278","1.35%"
"Kemper County Correctional Facility","355","354","1.71%"
"Leake County Correctional Facility","280","269","1.30%"
"Marion County Correctional Facility","280","273","1.32%"
"Stone County Correctional Facility","280","280","1.36%"
"Washington County Correctional Facility","300","204","0.99%"
"Winston County Correctional Facility","280","269","1.30%"
"Yazoo County Correctional Facility","300","288","1.39%"
"TOTAL REGIONAL FACILITIES","4438","4265","20.66%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1129","5.47%"
"Marshall County Correctional Facility","1000","990","4.79%"
"Walnut Grove Correctional Facility","1500","906","4.39%"
"Wilkinson County Correctional Facility","1000","750","3.63%"
"TOTAL PRIVATE PRISONS","5972","3775","18.28%"
"Community Trusties","0","13",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","105",".51%"
"Court Order","0","217","1.05%"
"TOTAL CAPACITY & CUSTODY POPULATION","23542","18305","88.66%"
"Intensive Supervision Program","0","930","4.50%"
"Earned Release Supervision Program","0","826","4.00%"
"Medical Release","0","16","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1772","8.58%"
"Other Custody","0","538","2.61%"
"Off-Grounds Medical (Hospital)","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","27","0.13%"
"TOTAL","23542","20647","100.00%"
