"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,590","3,274","15.70%"
"Central Mississippi Correctional Facility","2,932","2,753","13.20%"
"South Mississippi Correctional Institution","2,882","2,696","12.93%"
"Youthful Offender Facility","58","28","0.13%"
"County Jails - Approved*","1,780","661","3.17%"
"County Jails - Unapproved**","0","150","0.72%"
"Community Work Centers","1,864","990","4.75%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,106","10,552","50.59%"
"Alcorn County Correctional Facility","300","0","0.00%"
"Bolivar County Correctional Facility","369","347","1.66%"
"Carroll County Correctional Facility","280","274","1.31%"
"Chickasaw County Correctional Facility","300","257","1.23%"
"George County Correctional Facility","280","269","1.29%"
"Holmes County Correctional Facility","280","279","1.34%"
"Issaquena County Correctional Facility","274","244","1.17%"
"Jefferson County Correctional Facility","280","275","1.32%"
"Kemper County Correctional Facility","355","323","1.55%"
"Leake County Correctional Facility","280","263","1.26%"
"Marion County Correctional Facility","280","278","1.33%"
"Stone County Correctional Facility","280","278","1.33%"
"Washington County Correctional Facility","300","224","1.07%"
"Winston County Correctional Facility","280","269","1.29%"
"Yazoo County Correctional Facility","300","279","1.34%"
"TOTAL REGIONAL FACILITIES","4,438","3,859","18.50%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,144","5.48%"
"Marshall County Correctional Facility","1,000","996","4.78%"
"Walnut Grove Correctional Facility","1,500","909","4.36%"
"Wilkinson County Correctional Facility","1,000","863","4.14%"
"TOTAL PRIVATE PRISONS","5,972","3,912","18.76%"
"Community Trusties","0","19",".09%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","86",".41%"
"Court Order","0","198",".95%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,516","18,626","89.30%"
"Intensive Supervision Program","0","800","3.84%"
"Earned Release Supervision Program","0","862","4.13%"
"Medical Release","0","11","0.05%"
"Conditional Release","0","2","0.01%"
"TOTAL COMMUNITY CORRECTIONS","0","1,675","8.03%"
"Other Custody","0","524","2.51%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","23,516","20,858","100.00%"
