"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3331","16.12%"
"Central Mississippi Correctional Facility","3858","3159","15.29%"
"South Mississippi Correctional Institution","3082","3022","14.63%"
"Youthful Offender Facility","58","30","0.15%"
"County Jails - Approved*","1781","726","3.51%"
"County Jails - Unapproved**","0","297","1.44%"
"Community Work Centers","1364","756","3.66%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13733","11321","54.80%"
"Alcorn County Correctional Facility","300","245","1.19%"
"Bolivar County Correctional Facility","369","281","1.36%"
"Carroll County Correctional Facility","300","252","1.22%"
"Chickasaw County Correctional Facility","310","305","1.48%"
"George County Correctional Facility","280","276","1.34%"
"Holmes County Correctional Facility","280","263","1.27%"
"Issaquena County Correctional Facility","274","253","1.22%"
"Jefferson County Correctional Facility","280","279","1.35%"
"Kemper County Correctional Facility","355","348","1.68%"
"Leake County Correctional Facility","280","199","0.96%"
"Marion County Correctional Facility","280","276","1.34%"
"Stone County Correctional Facility","326","324","1.57%"
"Washington County Correctional Facility","300","226","1.09%"
"Winston County Correctional Facility","280","275","1.33%"
"Yazoo County Correctional Facility","300","296","1.43%"
"TOTAL REGIONAL FACILITIES","4514","4098","19.84%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1163","5.63%"
"Marshall County Correctional Facility","1000","996","4.82%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","899","4.35%"
"TOTAL PRIVATE PRISONS","5972","3058","14.80%"
"Community Trusties","16","33",".16%"
"Emergency Suspension","0","0",".00%"
"TVC","0","3",".01%"
"Pending File Review","0","67",".32%"
"Court Order","0","192",".93%"
"TOTAL CAPACITY & CUSTODY POPULATION","24219","18772","90.87%"
"Intensive Supervision Program","0","745","3.61%"
"Earned Release Supervision Program","0","569","2.75%"
"Transitional Housing","0","1","0.00%"
"Conditional Release","0","2","0.01%"
"RRP","0","27","0.13%"
"Medical Release","0","13","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1357","6.57%"
"Other Custody","0","493","2.39%"
"Off-Grounds Medical (Hospital)","0","8","0.04%"
"At Large (Escapees & Walk-Aways)","0","28","0.14%"
"TOTAL","24219","20658","100.00%"
