"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5551","5325","40.52%"
"Central Mississippi Correctional Facility","3049","2953","22.47%"
"South Mississippi Correctional Institution","2214","2047","15.58%"
"County Jails - Approved*","2146","1464","11.14%"
"County Jails - Unapproved**","0","50","0.38%"
"Community Work Centers","1320","1302","9.91%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14280","13141","100.00%"
"Bolivar County Correctional Facility","250","0","0.00%"
"Carroll County Correctional Facility","250","202","9.91%"
"George County Correctional Facility","250","200","9.81%"
"Holmes County Correctional Facility","250","202","9.91%"
"Issaquena County Correctional Facility","250","199","9.76%"
"Jefferson County Correctional Facility","250","212","10.40%"
"Kemper County Correctional Facility","250","223","10.94%"
"Leake Correctional Facility","250","200","9.81%"
"Marion County Correctional Facility","250","198","9.72%"
"Stone County Correctional Facility","250","202","9.91%"
"Winston County Correctional Facility","250","200","9.81%"
"Regional Facilities","2750","2038","100.00%"
"Delta Correctional Facility","1000","846","23.31%"
"East MS Correctional Facility","1000","502","13.83%"
"Marshall County Correctional Facility","1000","878","24.19%"
"Walnut Grove Correctional Facility","750","530","14.60%"
"Wilkinson County Correctional Facility","900","873","24.06%"
"TOTAL PRIVATE PRISONS","4650","3629","100.00%"
"Community Trusties","30","23","0.11%"
"Emergency Suspension","0","5","0.02%"
"Court Order","0","237","1.08%"
"TOTAL CAPACITY & CUSTODY POPULATION","21710","19073","87.27%"
"Intensive Supervision Program","0","1477","6.76%"
"Earned Release Supervision Program","0","991","4.53%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2468","11.29%"
"Other Custody","0","213","0.97%"
"University of MS Medical Center","0","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","95","0.43%"
"TOTAL","21710","21855","100.00%"
