"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,356","3,159","25.08%"
"Central Mississippi Correctional Facility","3,449","3,209","25.47%"
"South Mississippi Correctional Institution","3,204","3,162","25.10%"
"County Jails - Approved*","1,610","1,280","10.16%"
"County Jails - Unapproved**","0","287","2.28%"
"Community Work Centers","1,848","1,501","11.91%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,467","12,598","100.00%"
"Bolivar County Correctional Facility","294","231","7.70%"
"Carroll County Correctional Facility","280","224","7.46%"
"Chickasaw County Correctional Facility","300","246","8.20%"
"George County Correctional Facility","280","221","7.36%"
"Holmes County Correctional Facility","280","224","7.46%"
"Issaquena County Correctional Facility","274","203","6.76%"
"Jefferson County Correctional Facility","280","224","7.46%"
"Kemper County Correctional Facility","355","283","9.43%"
"Leake County Correctional Facility","280","224","7.46%"
"Marion County Correctional Facility","280","224","7.46%"
"Stone County Correctional Facility","280","224","7.46%"
"Winston County Correctional Facility","280","223","7.43%"
"Yazoo County Correctional Facility","300","250","8.33%"
"TOTAL REGIONAL FACILITIES","3,763","3,001","100.00%"
"Delta Correctional Facility","972","894","17.53%"
"East MS Correctional Facility","1,500","1,343","26.34%"
"Marshall County Correctional Facility","1,000","966","18.94%"
"Walnut Grove Correctional Facility","1,500","1,010","19.81%"
"Wilkinson County Correctional Facility","1,000","886","17.38%"
"TOTAL PRIVATE PRISONS","5,972","5,099","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","104",".42%"
"Court Order","0","277","1.12%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,224","21,091","85.50%"
"Intensive Supervision Program","0","1,635","6.63%"
"Earned Release Supervision Program","0","1,468","5.95%"
"Medical Release","00","37",".15%"
"TOTAL COMMUNITY CORRECTIONS","00","3,140","12.73%"
"Other Custody","0","387","1.57%"
"Off-Grounds Medical (Hospital)","0","12",".05%"
"At Large (Escapees & Walk-Aways)","00","38",".15%"
"TOTAL","23,224","24,668","100.00%"
