"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3845","27.67%"
"Central Mississippi Correctional Facility","3665","3680","26.48%"
"South Mississippi Correctional Institution","3204","3097","22.29%"
"County Jails - Approved*","1790","1256","9.04%"
"County Jails - Unapproved**","0","198","1.42%"
"Community Work Centers","1848","1819","13.09%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14942","13895","100.00%"
"Bolivar County Correctional Facility","294","293","9.52%"
"Carroll County Correctional Facility","280","280","9.10%"
"George County Correctional Facility","280","279","9.07%"
"Holmes County Correctional Facility","280","279","9.07%"
"Issaquena County Correctional Facility","274","271","8.81%"
"Jefferson County Correctional Facility","280","278","9.03%"
"Kemper County Correctional Facility","280","279","9.07%"
"Leake County Correctional Facility","280","279","9.07%"
"Marion County Correctional Facility","280","278","9.03%"
"Stone County Correctional Facility","280","281","9.13%"
"Winston County Correctional Facility","280","280","9.10%"
"TOTAL REGIONAL FACILITIES","3088","3077","100.00%"
"Delta Correctional Facility","972","972","17.52%"
"East MS Correctional Facility","1500","1363","24.56%"
"Marshall County Correctional Facility","1000","997","17.97%"
"Walnut Grove Correctional Facility","1500","1229","22.15%"
"Wilkinson County Correctional Facility","1000","988","17.81%"
"TOTAL PRIVATE PRISONS","5972","5549","100.00%"
"Community Trusties","01
6","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","124","0.47%"
"Court Order","0","366","1.38%"
"TOTAL CAPACITY & CUSTODY POPULATION","24018","23029","86.81%"
"Intensive Supervision Program","0","1225","4.62%"
"Earned Release Supervision Program","00","1855","6.99%"
"Medical Release","0","37","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","3117","11.75%"
"Other Custody","0","322","1.21%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","0","56","0.21%"
"TOTAL","24018","26528","100.00%"
