"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4627","4096","30.63%"
"Central Mississippi Correctional Facility","3665","3392","25.36%"
"South Mississippi Correctional Institution","3204","3047","22.78%"
"County Jails - Approved*","1752","1117","8.35%"
"County Jails - Unapproved**","0","207","1.55%"
"Community Work Centers","1848","1515","11.33%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15096","13374","100.00%"
"Bolivar County Correctional Facility","294","279","9.56%"
"Carroll County Correctional Facility","280","264","9.04%"
"George County Correctional Facility","280","265","9.08%"
"Holmes County Correctional Facility","280","264","9.04%"
"Issaquena County Correctional Facility","274","257","8.80%"
"Jefferson County Correctional Facility","280","265","9.08%"
"Kemper County Correctional Facility","280","265","9.08%"
"Leake County Correctional Facility","280","264","9.04%"
"Marion County Correctional Facility","280","266","9.11%"
"Stone County Correctional Facility","280","265","9.08%"
"Winston County Correctional Facility","280","265","9.08%"
"TOTAL REGIONAL FACILITIES","3088","2919","100.00%"
"Delta Correctional Facility","972","954","17.40%"
"East MS Correctional Facility","1500","1359","24.78%"
"Marshall County Correctional Facility","1000","977","17.82%"
"Walnut Grove Correctional Facility","1500","1220","22.25%"
"Wilkinson County Correctional Facility","1000","974","17.76%"
"TOTAL PRIVATE PRISONS","5972","5484","100.00%"
"Community Trusties","022","20","0.08%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","183","0.72%"
"Court Order","0","267","1.05%"
"TOTAL CAPACITY & CUSTODY POPULATION","24178","22247","87.46%"
"Intensive Supervision Program","0","1155","4.54%"
"Earned Release Supervision Program","00","1608","6.32%"
"Medical Release","0","38","0.15%"
"TOTAL COMMUNITY CORRECTIONS","00","2801","11.01%"
"Other Custody","0","330","1.30%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","50","0.20%"
"TOTAL","24178","25437","100.00%"
