"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3250","15.25%"
"Central Mississippi Correctional Facility","3750","3689","17.31%"
"South Mississippi Correctional Institution","3082","2642","12.40%"
"Youthful Offender Facility","58","28","0.13%"
"County Jails - Approved","1781","723","3.39%"
"County Jails - Unapproved","0","408","1.91%"
"Community Work Centers","1154","622","2.92%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11362","53.31%"
"Alcorn County Correctional Facility","300","297","1.39%"
"Bolivar County Correctional Facility","369","289","1.36%"
"Carroll County Correctional Facility","280","277","1.30%"
"Chickasaw County Correctional Facility","310","307","1.44%"
"George County Correctional Facility","280","331","1.55%"
"Holmes County Correctional Facility","280","276","1.29%"
"Issaquena County Correctional Facility","274","296","1.39%"
"Jefferson County Correctional Facility","280","275","1.29%"
"Kemper County Correctional Facility","355","352","1.65%"
"Leake County Correctional Facility","280","275","1.29%"
"Marion County Correctional Facility","280","276","1.29%"
"Stone County Correctional Facility","326","280","1.31%"
"Washington County Correctional Facility","300","151","0.71%"
"Winston County Correctional Facility","280","277","1.30%"
"Yazoo County Correctional Facility","300","295","1.38%"
"TOTAL REGIONAL FACILITIES","4494","4254","19.96%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1280","6.01%"
"Marshall County Correctional Facility","1000","996","4.67%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","929","4.36%"
"TOTAL PRIVATE PRISONS","5972","3205","15.04%"
"Community Trusties","0","6",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","79",".37%"
"TVC","0","82",".38%"
"Transitional Housing","0","27",".13%"
"Court Order","0","270","1.27%"
"RRP","0","71",".33%"
"TOTAL CAPACITY & CUSTODY POPULATION","23881","19356","90.81%"
"Intensive Supervision Program","0","818","3.84%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","580","2.72%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1422","6.67%"
"Other Custody","","502","2.36%"
"Off-Grounds Medical (Hospital)","","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23881","21314","100.00%"
