"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3356","3055","24.71%"
"Central Mississippi Correctional Facility","3449","3031","24.51%"
"South Mississippi Correctional Institution","3256","3147","25.45%"
"County Jails - Approved*","1616","1280","10.35%"
"County Jails - Unapproved**","0","405","3.28%"
"Community Work Centers","1848","1447","11.70%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13525","12365","100.00%"
"Alcorn County Correctional Facility","300","296","7.44%"
"Bolivar County Correctional Facility","294","234","5.88%"
"Carroll County Correctional Facility","280","225","5.65%"
"Chickasaw County Correctional Facility","300","249","6.25%"
"George County Correctional Facility","280","278","6.98%"
"Holmes County Correctional Facility","280","279","7.01%"
"Issaquena County Correctional Facility","274","275","6.91%"
"Jefferson County Correctional Facility","280","275","6.91%"
"Kemper County Correctional Facility","355","281","7.06%"
"Leake County Correctional Facility","280","280","7.03%"
"Marion County Correctional Facility","280","278","6.98%"
"Stone County Correctional Facility","280","280","7.03%"
"Washington County Correctional Facility","300","230","5.78%"
"Winston County Correctional Facility","280","224","5.63%"
"Yazoo County Correctional Facility","300","297","7.46%"
"TOTAL REGIONAL FACILITIES","4363","3981","100.00%"
"Delta Correctional Facility","972","446","9.57%"
"East MS Correctional Facility","1500","1318","28.28%"
"Marshall County Correctional Facility","1000","997","21.39%"
"Walnut Grove Correctional Facility","1500","1010","21.67%"
"Wilkinson County Correctional Facility","1000","890","19.09%"
"TOTAL PRIVATE PRISONS","5972","4661","100.00%"
"Community Trusties","22","14",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","132",".52%"
"Court Order","00","328","1.30%"
"TOTAL CAPACITY & CUSTODY POPULATION","23882","21481","85.05%"
"Intensive Supervision Program","0","1642","6.50%"
"Earned Release Supervision Program","0","1656","6.56%"
"Medical Release","00","23",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3321","13.15%"
"Other Custody","0","408","1.62%"
"Off-Grounds Medical (Hospital)","0","11",".04%"
"At Large (Escapees & Walk-Aways)","0","37",".15%"
"TOTAL","23882","25258","100.00%"
