"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3108","14.51%"
"Central Mississippi Correctional Facility","3469","2069","9.66%"
"South Mississippi Correctional Institution","3282","2421","11.30%"
"Youthful Offender Facility","58","27","0.13%"
"County Jails - Approved*","1985","1075","5.02%"
"County Jails - Unapproved**","0","138","0.64%"
"Community Work Centers","1870","1068","4.99%"
"TVC","0","0","0.00%"
"Transitional Housing","0","0","0.00%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15312","9906","46.25%"
"Alcorn County Correctional Facility","300","298","1.39%"
"Bolivar County Correctional Facility","367","362","1.69%"
"Carroll County Correctional Facility","274","261","1.22%"
"Chickasaw County Correctional Facility","299","297","1.39%"
"George County Correctional Facility","271","248","1.16%"
"Holmes County Correctional Facility","268","251","1.17%"
"Issaquena County Correctional Facility","274","254","1.19%"
"Jefferson County Correctional Facility","280","251","1.17%"
"Kemper County Correctional Facility","355","319","1.49%"
"Leake County Correctional Facility","280","241","1.13%"
"Marion County Correctional Facility","280","275","1.28%"
"Stone County Correctional Facility","280","266","1.24%"
"Washington County Correctional Facility","300","265","1.24%"
"Winston County Correctional Facility","280","262","1.22%"
"Yazoo County Correctional Facility","300","278","1.30%"
"TOTAL REGIONAL FACILITIES","4408","4128","19.27%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1184","5.53%"
"Marshall County Correctional Facility","1000","996","4.65%"
"Walnut Grove Correctional Facility","1500","1141","5.33%"
"Wilkinson County Correctional Facility","1099","889","4.15%"
"TOTAL PRIVATE PRISONS","6071","4210","19.66%"
"Community Trusties","0","9",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","63",".29%"
"Court Order","0","258","1.20%"
"TOTAL CAPACITY & CUSTODY POPULATION","25791","18574","86.72%"
"Intensive Supervision Program","0","1257","5.87%"
"Earned Release Supervision Program","0","1005","4.69%"
"Medical Release","0","19","0.09%"
"TOTAL COMMUNITY CORRECTIONS","0","2281","10.65%"
"Other Custody","0","528","2.47%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","27","0.13%"
"TOTAL","25791","21419","100%"
