"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,590","2,027","10.41%"
"Central Mississippi Correctional Facility","4,094","3,067","15.76%"
"South Mississippi Correctional Institution","3,082","2,490","12.79%"
"Youthful Offender Facility","58","19","0.10%"
"County Jails - Approved","1,781","717","3.68%"
"County Jails - Unapproved","0","669","3.44%"
"Community Work Centers","1,154","373","1.92%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,759","9,362","48.10%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","300","1.54%"
"Bolivar County Correctional Facility","369","282","1.45%"
"Carroll County Correctional Facility","280","235","1.21%"
"Chickasaw County Correctional Facility","310","302","1.55%"
"George County Correctional Facility","280","320","1.64%"
"Holmes County Correctional Facility","280","280","1.44%"
"Issaquena County Correctional Facility","328","314","1.61%","`"
"Jefferson County Correctional Facility","280","263","1.35%"
"Kemper County Correctional Facility","355","335","1.72%"
"Leake County Correctional Facility","280","266","1.37%"
"Marion County Correctional Facility","401","357","1.83%"
"Stone County Correctional Facility","326","270","1.39%"
"Washington County Correctional Facility","300","121","0.62%"
"Winston County Correctional Facility","280","217","1.11%"
"Yazoo County Correctional Facility","300","296","1.52%"
"TOTAL REGIONAL FACILITIES","4,669","4,158","21.36%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,180","6.06%"
"Marshall County Correctional Facility","1,000","953","4.90%"
"Tallahatchie County Correctional Facility","1,500","565","2.90%"
"Wilkinson County Correctional Facility","1,000","865","4.44%"
"TOTAL PRIVATE PRISONS","5,972","3,563","18.30%"
"Community Trusties","0","0",".00%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","107",".55%"
"TVC","0","140",".72%"
"Transitional Housing","0","7",".04%"
"Court Order","0","164",".84%"
"RRP","0","46",".24%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,400","17,547","90.15%"
"Intensive Supervision Program","0","844","4.34%"
"Conditional Release","0","3","0.02%"
"Earned Release Supervision Program","0","543","2.79%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","19","0.10%"
"TOTAL COMMUNITY CORRECTIONS","0","1,415","7.27%"
"Other Custody","0","470","2.41%"
"Off-Grounds Medical (Hospital)","0","9","0.05%"
"At Large (Escapees & Walk-Aways)","0","24","0.12%"
"TOTAL","24,400","19,465","100.00%"
