"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5711","5653","40.40%"
"Central Mississippi Correctional Facility","3233","3085","22.05%"
"South Mississippi Correctional Institution","2214","2153","15.39%"
"County Jails - Approved*","2133","1710","12.22%"
"County Jails - Unapproved**","0","92","0.66%"
"Community Work Centers","1350","1298","9.28%"
"State, County Jails, & CWC Facilities","14641","13991","100.00%"
"Bolivar County Correctional Facility","250","227","9.09%"
"Carroll County Correctional Facility","250","226","9.05%"
"GeorgeCounty Correctional Facility","250","226","9.05%"
"Holmes County Correctional Facility","250","228","9.13%"
"Issaquena County Correctional Facility","250","229","9.17%"
"Jefferson County Correctional Facility","250","228","9.13%"
"Kemper County Correctional Facility","250","226","9.05%"
"Leake Correctional Facility","250","226","9.05%"
"Marion County Correctional Facility","250","228","9.13%"
"Stone County Correctional Facility","250","226","9.05%"
"Winston County Correctional Facility","250","226","9.05%"
"Regional Facilities","2750","2496","100.00%"
"East MS Correctional Facility","1000","683","20.22%"
"Marshall County Correctional Facility","1000","982","29.07%"
"Walnut Grove Correctional Facility","750","722","21.37%"
"Wilkinson County Correctional Facility","1000","991","29.34%"
"Private Prisons","3750","3378","100.00%"
"Community Trusties","30","19","0.08%"
"Emergency Suspension","0","23","0.10%"
"Court Order","0","312","1.35%"
"TOTAL CAPACITY & CUSTODY POPULATION","21171","20219","87.20%"
"Intensive Supervision Program","0","1518","6.55%"
"Earned Release Supervision Program","0","1117","4.82%"
"Medical Release","0","0","0.00%"
"Community Corrections","0","2635","11.36%"
"Other Custody","0","225","0.97%"
"University of MS Medical Center","0","8","0.03%"
"At Large (Escapees & Walk-Aways)","0","101","0.44%"
"TOTAL","21171","23188","100.00%"
