"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,590","3,234","15.34%"
"Central Mississippi Correctional Facility","4,094","3,546","16.82%"
"South Mississippi Correctional Institution","3,082","2,649","12.56%"
"Youthful Offender Facility","58","26","0.12%"
"County Jails - Approved","1,781","758","3.59%"
"County Jails - Unapproved","0","312","1.48%"
"Community Work Centers","1,154","574","2.72%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,759","11,099","52.63%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","300","1.42%"
"Bolivar County Correctional Facility","369","294","1.39%"
"Carroll County Correctional Facility","280","278","1.32%"
"Chickasaw County Correctional Facility","310","306","1.45%"
"George County Correctional Facility","280","339","1.61%"
"Holmes County Correctional Facility","280","277","1.31%"
"Issaquena County Correctional Facility","274","319","1.51%"
"Jefferson County Correctional Facility","280","279","1.32%"
"Kemper County Correctional Facility","355","353","1.67%"
"Leake County Correctional Facility","280","276","1.31%"
"Marion County Correctional Facility","280","278","1.32%"
"Stone County Correctional Facility","326","280","1.33%"
"Washington County Correctional Facility","300","159","0.75%"
"Winston County Correctional Facility","280","279","1.32%"
"Yazoo County Correctional Facility","300","300","1.42%"
"TOTAL REGIONAL FACILITIES","4,494","4,317","20.47%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,254","5.95%"
"Marshall County Correctional Facility","1,000","999","4.74%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","934","4.43%"
"TOTAL PRIVATE PRISONS","5,972","3,187","15.11%"
"Community Trusties","0","7",".03%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","75",".36%"
"TVC","0","78",".37%"
"Transitional Housing","0","15",".07%"
"Court Order","0","233","1.10%"
"RRP","0","80",".38%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","19,091","90.53%"
"Intensive Supervision Program","0","856","4.06%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","588","2.79%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,467","6.96%"
"Other Custody","0","498","2.36%"
"Off-Grounds Medical (Hospital)","0","8","0.04%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","24,225","21,088","100.00%"
