"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4892","4795","34.73%"
"Central Mississippi Correctional Facility","3233","3087","22.36%"
"South Mississippi Correctional Institution","2224","2178","15.78%"
"County Jails - Approved*","2176","1838","13.31%"
"County Jails - Unapproved**","0","223","1.62%"
"Community Work Centers","1816","1685","12.20%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14341","13806","100.00%"
"Bolivar County Correctional Facility","250","252","9.18%"
"Carroll County Correctional Facility","250","250","9.10%"
"GeorgeCounty Correctional Facility","250","246","8.96%"
"Holmes County Correctional Facility","250","244","8.89%"
"Issaquena County Correctional Facility","250","255","9.29%"
"Jefferson County Correctional Facility","250","252","9.18%"
"Kemper County Correctional Facility","250","251","9.14%"
"Leake Correctional Facility","250","249","9.07%"
"Marion County Correctional Facility","250","252","9.18%"
"Stone County Correctional Facility","250","251","9.14%"
"Winston County Correctional Facility","250","244","8.89%"
"REGIONAL FACILITIES","2750","2746","100.00%"
"Delta Correctional Facility (reopened 04-01-04)","960","959","21.03%"
"East MS Correctional Facility","1000","853","18.71%"
"Marshall County Correctional Facility","1000","997","21.86%"
"Walnut Grove Correctional Facility","1000","753","16.51%"
"Wilkinson County Correctional Facility","1000","998","21.89%"
"TOTAL PRIVATE PRISONS","4960","4560","100.00%"
"Community Trusties","30","18","0.08%"
"Emergency Suspension","00","00","0.00%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22081","21130","88.14%"
"Intensive Supervision Program","0","1302","5.43%"
"Earned Release Supervision Program","0","1270","5.30%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2572","10.73%"
"Other Custody","0","226","0.94%"
"University of MS Medical Center","0","0","0.00%"
"At Large (Escapees & Walk-Aways)","0","45","0.19%"
"TOTAL","22081","23973","100.00%"
