"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3356","3040","24.36%"
"Central Mississippi Correctional Facility","3449","3063","24.55%"
"South Mississippi Correctional Institution","3256","3181","25.49%"
"County Jails - Approved*","1616","1305","10.46%"
"County Jails - Unapproved**","0","368","2.95%"
"Community Work Centers","1848","1520","12.18%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13525","12477","100.00%"
"Alcorn County Correctional Facility","300","241","6.94%"
"Bolivar County Correctional Facility","294","232","6.68%"
"Carroll County Correctional Facility","280","223","6.42%"
"Chickasaw County Correctional Facility","300","248","7.14%"
"George County Correctional Facility","280","223","6.42%"
"Holmes County Correctional Facility","280","223","6.42%"
"Issaquena County Correctional Facility","274","219","6.30%"
"Jefferson County Correctional Facility","280","223","6.42%"
"Kemper County Correctional Facility","355","280","8.06%"
"Leake County Correctional Facility","280","223","6.42%"
"Marion County Correctional Facility","280","224","6.45%"
"Stone County Correctional Facility","280","224","6.45%"
"Washington County Correctional Facility","300","216","6.22%"
"Winston County Correctional Facility","280","223","6.42%"
"Yazoo County Correctional Facility","300","252","7.25%"
"TOTAL REGIONAL FACILITIES","4363","3474","100.00%"
"Delta Correctional Facility","972","898","17.37%"
"East MS Correctional Facility","1500","1354","26.18%"
"Marshall County Correctional Facility","1000","997","19.28%"
"Walnut Grove Correctional Facility","1500","1025","19.82%"
"Wilkinson County Correctional Facility","1000","897","17.35%"
"TOTAL PRIVATE PRISONS","5972","5171","100.00%"
"Community Trusties","22","16",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","99",".39%"
"Court Order","00","340","1.35%"
"TOTAL CAPACITY & CUSTODY POPULATION","23882","21577","85.51%"
"Intensive Supervision Program","0","1625","6.44%"
"Earned Release Supervision Program","0","1555","6.16%"
"Medical Release","00","25",".10%"
"TOTAL COMMUNITY CORRECTIONS","00","3205","12.70%"
"Other Custody","0","412","1.63%"
"Off-Grounds Medical (Hospital)","0","33",".01%"
"At Large (Escapees & Walk-Aways)","0","7",".15%"
"TOTAL","23882","25234","100.00%"
