"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,590","3,346","15.80%"
"Central Mississippi Correctional Facility","3,818","3,468","16.38%"
"South Mississippi Correctional Institution","3,082","2,964","14.00%"
"Youthful Offender Facility","58","33","0.16%"
"County Jails - Approved*","1,781","863","4.08%"
"County Jails - Unapproved**","0","337","1.59%"
"Community Work Centers","1,364","827","3.91%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,693","11,838","55.91%"
"Alcorn County Correctional Facility","300","238","1.12%"
"Bolivar County Correctional Facility","369","296","1.40%"
"Carroll County Correctional Facility","280","237","1.12%"
"Chickasaw County Correctional Facility","300","240","1.13%"
"George County Correctional Facility","280","240","1.13%"
"Holmes County Correctional Facility","280","240","1.13%"
"Issaquena County Correctional Facility","274","270","1.28%"
"Jefferson County Correctional Facility","280","269","1.27%"
"Kemper County Correctional Facility","355","261","1.23%"
"Leake County Correctional Facility","280","201","0.95%"
"Marion County Correctional Facility","280","241","1.14%"
"Stone County Correctional Facility","280","270","1.28%"
"Washington County Correctional Facility","300","209","0.99%"
"Winston County Correctional Facility","280","237","1.12%"
"Yazoo County Correctional Facility","300","238","1.12%"
"TOTAL REGIONAL FACILITIES","4,438","3,687","17.41%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,152","5.44%"
"Marshall County Correctional Facility","1,000","997","4.71%"
"Walnut Grove Correctional Facility","1,500","277","1.31%"
"Wilkinson County Correctional Facility","1,000","901","4.26%"
"TOTAL PRIVATE PRISONS","5,972","3,327","15.71%"
"Community Trusties","16","42",".20%"
"Emergency Suspension","0","0",".00%"
"TVC","0","5",".02%"
"Pending File Review","0","113",".53%"
"Court Order","0","225","1.06%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,103","19,237","90.86%"
"Intensive Supervision Program","0","693","3.27%"
"Earned Release Supervision Program","0","663","3.13%"
"Transitional Housing","0","0","0.00%"
"Conditional Release","0","2","0.01%"
"RRP","0","7","0.03%"
"Medical Release","0","12","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1,377","6.50%"
"Other Custody","0","525","2.48%"
"Off-Grounds Medical (Hospital)","0","8","0.04%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","24,103","21,173","100.00%"
