"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3398","26.58%"
"Central Mississippi Correctional Facility","3449","3315","25.93%"
"South Mississippi Correctional Institution","3204","3131","24.49%"
"County Jails - Approved*","1492","1019","7.97%"
"County Jails - Unapproved**","0","281","2.20%"
"Community Work Centers","1848","1640","12.83%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14428","12784","100.00%"
"Bolivar County Correctional Facility","294","235","9.33%"
"Carroll County Correctional Facility","280","224","8.89%"
"George County Correctional Facility","280","221","8.77%"
"Holmes County Correctional Facility","280","223","8.85%"
"Issaquena County Correctional Facility","274","219","8.69%"
"Jefferson County Correctional Facility","280","222","8.81%"
"Kemper County Correctional Facility","355","281","11.16%"
"Leake County Correctional Facility","280","224","8.89%"
"Marion County Correctional Facility","280","224","8.89%"
"Stone County Correctional Facility","280","223","8.85%"
"Winston County Correctional Facility","280","223","8.85%"
"TOTAL REGIONAL FACILITIES","3163","2519","100.00%"
"Delta Correctional Facility","972","904","17.01%"
"East MS Correctional Facility","1500","1359","25.57%"
"Marshall County Correctional Facility","1000","898","16.90%"
"Walnut Grove Correctional Facility","1500","1194","22.47%"
"Wilkinson County Correctional Facility","1000","959","18.05%"
"TOTAL PRIVATE PRISONS","5972","5314","100.00%"
"Community Trusties","2","12",".05%"
"Emergency Suspension","02","0",".00%"
"Pending File Review","0","79",".32%"
"Court Order","00","243","1.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","23585","20951","85.79%"
"Intensive Supervision Program","0","1559","6.38%"
"Earned Release Supervision Program","0","1456","5.96%"
"Medical Release","00","44",".18%"
"TOTAL COMMUNITY CORRECTIONS","00","3059","12.53%"
"Other Custody","0","359","1.47%"
"Off-Grounds Medical (Hospital)","0","8",".03%"
"At Large (Escapees & Walk-Aways)","0","43",".18%"
"TOTAL","23585","24420","100.00%"
