"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3392","16.25%"
"Central Mississippi Correctional Facility","3750","3281","15.72%"
"South Mississippi Correctional Institution","3082","2645","12.67%"
"Youthful Offender Facility","58","29","0.14%"
"County Jails - Approved","1781","658","3.15%"
"County Jails - Unapproved","0","381","1.83%"
"Community Work Centers","1154","651","3.12%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11037","52.87%"
"Alcorn County Correctional Facility","300","287","1.37%"
"Bolivar County Correctional Facility","369","293","1.40%"
"Carroll County Correctional Facility","280","276","1.32%"
"Chickasaw County Correctional Facility","310","300","1.44%"
"George County Correctional Facility","280","335","1.60%"
"Holmes County Correctional Facility","280","280","1.34%"
"Issaquena County Correctional Facility","274","266","1.27%"
"Jefferson County Correctional Facility","280","291","1.39%"
"Kemper County Correctional Facility","355","344","1.65%"
"Leake County Correctional Facility","280","275","1.32%"
"Marion County Correctional Facility","280","280","1.34%"
"Stone County Correctional Facility","326","319","1.53%"
"Washington County Correctional Facility","300","214","1.03%"
"Winston County Correctional Facility","280","267","1.28%"
"Yazoo County Correctional Facility","300","292","1.40%"
"TOTAL REGIONAL FACILITIES","4494","4319","20.69%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1281","6.14%"
"Marshall County Correctional Facility","1000","998","4.78%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","927","4.44%"
"TOTAL PRIVATE PRISONS","5972","3206","15.36%"
"Community Trusties","0","43",".21%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","82",".39%"
"TVC","0","0",".00%"
"Transitional Housing","0","37","0.2%"
"Court Order","0","227","1.09%"
"RRP","0","101",".48%"
"TOTAL CAPACITY & CUSTODY POPULATION","23881","19052","91.26%"
"Intensive Supervision Program","0","743","3.56%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","565","2.71%"
"Failure to Register-Monitoring","0","5","0.02%"
"Medical Release","0","13","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1329","6.37%"
"Other Custody","0","450","2.16%"
"Off-Grounds Medical (Hospital)","0","16","0.08%"
"At Large (Escapees & Walk-Aways)","0","29","0.14%"
"TOTAL","23881","20876","100.00%"
