"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3376","25.81%"
"Central Mississippi Correctional Facility","3557","3269","25.00%"
"South Mississippi Correctional Institution","3282","3198","24.45%"
"Youthful Offender Facility","42","37","0.28%"
"County Jails - Approved*","1882","1521","11.63%"
"County Jails - Unapproved**","0","292","2.23%"
"Community Work Centers","1848","1385","10.59%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15259","13078","100.00%"
"Alcorn County Correctional Facility","300","299","6.76%"
"Bolivar County Correctional Facility","369","369","8.34%"
"Carroll County Correctional Facility","280","277","6.26%"
"Chickasaw County Correctional Facility","300","301","6.80%"
"George County Correctional Facility","280","280","6.33%"
"Holmes County Correctional Facility","280","279","6.31%"
"Issaquena County Correctional Facility","274","274","6.19%"
"Jefferson County Correctional Facility","280","280","6.33%"
"Kemper County Correctional Facility","355","354","8.00%"
"Leake County Correctional Facility","280","280","6.33%"
"Marion County Correctional Facility","280","280","6.33%"
"Stone County Correctional Facility","280","279","6.31%"
"Washington County Correctional Facility","300","295","6.67%"
"Winston County Correctional Facility","280","279","6.31%"
"Yazoo County Correctional Facility","300","299","6.76%"
"TOTAL REGIONAL FACILITIES","4438","4425","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1202","27.23%"
"Marshall County Correctional Facility","1000","996","22.56%"
"Walnut Grove Correctional Facility","1500","1320","29.90%"
"Wilkinson County Correctional Facility","1000","897","20.32%"
"TOTAL PRIVATE PRISONS","5972","4415","100.00%"
"Community Trusties","22","9",".03%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","38",".15%"
"Court Order","0","365","1.40%"
"TOTAL CAPACITY & CUSTODY POPULATION","25691","22330","85.61%"
"Intensive Supervision Program","0","1549","5.94%"
"Earned Release Supervision Program","0","1652","6.33%"
"Medical Release","0","23",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3224","12.36%"
"Other Custody","0","487","1.87%"
"Off-Grounds Medical (Hospital)","0000","9",".03%"
"At Large (Escapees & Walk-Aways)","0","32",".12%"
"TOTAL","25691","26082","100.00%"
