"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4627","4117","29.70%"
"Central Mississippi Correctional Facility","3665","3548","25.59%"
"South Mississippi Correctional Institution","3204","3106","22.40%"
"County Jails - Approved*","1898","1140","8.22%"
"County Jails - Unapproved**","0","245","1.77%"
"Community Work Centers","1848","1708","12.32%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15242","13864","100.00%"
"Bolivar County Correctional Facility","294","280","9.64%"
"Carroll County Correctional Facility","280","264","9.08%"
"George County Correctional Facility","280","262","9.02%"
"Holmes County Correctional Facility","280","265","9.12%"
"Issaquena County Correctional Facility","274","258","8.88%"
"Jefferson County Correctional Facility","280","263","9.05%"
"Kemper County Correctional Facility","280","263","9.05%"
"Leake County Correctional Facility","280","263","9.05%"
"Marion County Correctional Facility","280","259","8.91%"
"Stone County Correctional Facility","280","266","9.15%"
"Winston County Correctional Facility","280","263","9.05%"
"TOTAL REGIONAL FACILITIES","3088","2906","100.00%"
"Delta Correctional Facility","972","957","17.57%"
"East MS Correctional Facility","1500","1351","24.81%"
"Marshall County Correctional Facility","1000","980","17.99%"
"Walnut Grove Correctional Facility","1500","1185","21.76%"
"Wilkinson County Correctional Facility","1000","973","17.87%"
"TOTAL PRIVATE PRISONS","5972","5446","100.00%"
"Community Trusties","022","17","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","176","0.67%"
"Court Order","0","348","1.33%"
"TOTAL CAPACITY & CUSTODY POPULATION","24324","22757","87.26%"
"Intensive Supervision Program","0","1140","4.37%"
"Earned Release Supervision Program","00","1770","6.79%"
"Medical Release","0","36","0.14%"
"TOTAL COMMUNITY CORRECTIONS","0","2946","11.30%"
"Other Custody","0","317","1.22%"
"Off-Grounds Medical (Hospital)","0","9","0.03%"
"At Large (Escapees & Walk-Aways)","0","52","0.20%"
"TOTAL","24324","26081","100.00%"
