"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3342","16.07%"
"Central Mississippi Correctional Facility","3750","3323","15.98%"
"South Mississippi Correctional Institution","3082","2662","12.80%"
"Youthful Offender Facility","58","26","0.13%"
"County Jails - Approved","1781","618","2.97%"
"County Jails - Unapproved","0","286","1.38%"
"Community Work Centers","1154","660","3.17%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","10917","52.49%"
"Alcorn County Correctional Facility","300","289","1.39%"
"Bolivar County Correctional Facility","369","290","1.39%"
"Carroll County Correctional Facility","280","264","1.27%"
"Chickasaw County Correctional Facility","310","304","1.46%"
"George County Correctional Facility","280","342","1.64%"
"Holmes County Correctional Facility","280","278","1.34%"
"Issaquena County Correctional Facility","274","270","1.30%"
"Jefferson County Correctional Facility","280","281","1.35%"
"Kemper County Correctional Facility","355","350","1.68%"
"Leake County Correctional Facility","280","279","1.34%"
"Marion County Correctional Facility","280","280","1.35%"
"Stone County Correctional Facility","326","325","1.56%"
"Washington County Correctional Facility","300","232","1.12%"
"Winston County Correctional Facility","280","279","1.34%"
"Yazoo County Correctional Facility","300","293","1.41%"
"TOTAL REGIONAL FACILITIES","4494","4356","20.94%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1258","6.05%"
"Marshall County Correctional Facility","1000","997","4.79%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","922","4.43%"
"TOTAL PRIVATE PRISONS","5972","3177","15.27%"
"Community Trusties","0","41",".20%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","114",".55%"
"TVC","0","19",".09%"
"Transitional Housing","0","34","0.2%"
"Court Order","0","200",".96%"
"RRP","0","105",".50%"
"TOTAL CAPACITY & CUSTODY POPULATION","23881","18963","91.17%"
"Intensive Supervision Program","0","722","3.47%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","598","2.88%"
"Failure to Register-Monitoring","0","5","0.02%"
"Medical Release","0","13","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1341","6.45%"
"Other Custody","0","457","2.20%"
"Off-Grounds Medical (Hospital)","0","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","29","0.14%"
"TOTAL","23881","20800","100.00%"
