"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3261","15.50%"
"Central Mississippi Correctional Facility","3750","3539","16.82%"
"South Mississippi Correctional Institution","3082","2654","12.61%"
"Youthful Offender Facility","58","35","0.17%"
"County Jails - Approved","1781","754","3.58%"
"County Jails - Unapproved","0","379","1.80%"
"Community Work Centers","1154","665","3.16%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11287","53.64%"
"Alcorn County Correctional Facility","300","301","1.43%"
"Bolivar County Correctional Facility","369","291","1.38%"
"Carroll County Correctional Facility","280","274","1.30%"
"Chickasaw County Correctional Facility","310","310","1.47%"
"George County Correctional Facility","280","333","1.58%"
"Holmes County Correctional Facility","280","269","1.28%"
"Issaquena County Correctional Facility","274","273","1.30%"
"Jefferson County Correctional Facility","280","281","1.34%"
"Kemper County Correctional Facility","355","346","1.64%"
"Leake County Correctional Facility","280","263","1.25%"
"Marion County Correctional Facility","280","280","1.33%"
"Stone County Correctional Facility","326","275","1.31%"
"Washington County Correctional Facility","300","170","0.81%"
"Winston County Correctional Facility","280","268","1.27%"
"Yazoo County Correctional Facility","300","288","1.37%"
"TOTAL REGIONAL FACILITIES","4494","4222","20.06%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1188","5.65%"
"Marshall County Correctional Facility","1000","995","4.73%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","940","4.47%"
"TOTAL PRIVATE PRISONS","5972","3123","14.84%"
"Community Trusties","0","7",".03%"
"Emergency Suspension","00","0",".00%"
"Pending File Review","","74",".35%"
"TVC","0","74",".35%"
"Transitional Housing","0","25",".12%"
"Court Order","0","271","1.29%"
"RRP","0","76",".36%"
"TOTAL CAPACITY & CUSTODY POPULATION","23881","19159","91.04%"
"Intensive Supervision Program","0","781","3.71%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","567","2.69%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1372","6.52%"
"Other Custody","","481","2.29%"
"Off-Grounds Medical (Hospital)","00","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23881","21044","100.00%"
