"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,455","3,130","14.67%"
"Central Mississippi Correctional Facility","2,923","2,208","10.35%"
"South Mississippi Correctional Institution","2,682","2,400","11.25%"
"Youthful Offender Facility","58","24","0.11%"
"County Jails - Approved*","1,995","995","4.66%"
"County Jails - Unapproved**","0","321","1.50%"
"Community Work Centers","1,870","1,045","4.90%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","12,983","10,123","47.45%"
"Alcorn County Correctional Facility","300","299","1.40%"
"Bolivar County Correctional Facility","369","354","1.66%"
"Carroll County Correctional Facility","280","278","1.30%"
"Chickasaw County Correctional Facility","300","300","1.41%"
"George County Correctional Facility","280","261","1.22%"
"Holmes County Correctional Facility","280","273","1.28%"
"Issaquena County Correctional Facility","274","258","1.21%"
"Jefferson County Correctional Facility","280","262","1.23%"
"Kemper County Correctional Facility","355","339","1.59%"
"Leake County Correctional Facility","280","254","1.19%"
"Marion County Correctional Facility","280","273","1.28%"
"Stone County Correctional Facility","280","279","1.31%"
"Washington County Correctional Facility","300","249","1.17%"
"Winston County Correctional Facility","280","260","1.22%"
"Yazoo County Correctional Facility","300","290","1.36%"
"TOTAL REGIONAL FACILITIES","4,438","4,229","19.82%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,160","5.44%"
"Marshall County Correctional Facility","1,000","995","4.66%"
"Walnut Grove Correctional Facility","1,500","937","4.39%"
"Wilkinson County Correctional Facility","1,000","896","4.20%"
"TOTAL PRIVATE PRISONS","5,972","3,988","18.69%"
"Community Trusties","0","8",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","29",".14%"
"Court Order","0","217","1.02%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,393","18,594","87.16%"
"Intensive Supervision Program","0","1,236","5.79%"
"Earned Release Supervision Program","0","919","4.31%"
"Medical Release","0","17","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","2,172","10.18%"
"Other Custody","0","535","2.51%"
"Off-Grounds Medical (Hospital)","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","27","0.13%"
"TOTAL","23,393","21,333","100.00%"
