"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5612","5220","40.32%"
"Central Mississippi Correctional Facility","3049","3025","23.37%"
"South Mississippi Correctional Institution","2214","2041","15.77%"
"County Jails - Approved*","2122","1388","10.72%"
"County Jails - Unapproved**","0","31","0.24%"
"Community Work Centers","1320","1240","9.58%"
"State, County Jails, & CWC Facilities","14317","12945","100.00%"
"Bolivar County Correctional Facility","250","205","10.08%"
"Carroll County Correctional Facility","250","201","9.88%"
"Holmes County Correctional Facility","250","198","9.73%"
"Issaquena County Correctional Facility","250","200","9.83%"
"Jefferson County Correctional Facility","250","212","10.42%"
"Kemper County Correctional Facility","250","220","10.82%"
"Leake Correctional Facility","250","199","9.78%"
"Marion County Correctional Facility","250","201","9.88%"
"Stone County Correctional Facility","250","198","9.73%"
"Winston County Correctional Facility","250","200","9.83%"
"Regional Facilities","2500","2034","100.00%"
"Delta Correctional Facility","1000","838","24.03%"
"East MS Correctional Facility","500","495","14.20%"
"Marshall County Correctional Facility","1000","867","24.86%"
"Walnut Grove Correctional Facility","500","405","11.61%"
"Wilkinson County Correctional Facility","900","882","25.29%"
"Private Prisons","3900","3487","100.00%"
"Community Trusties","30","24","0.11%"
"Emergency Suspension","0","28","0.13%"
"Court Order","0","176","0.83%"
"TOTAL CAPACITY & CUSTODY POPULATION","20747","18694","88.10%"
"Intensive Supervision Program","0","1243","5.86%"
"Earned Release Supervision Program","0","983","4.63%"
"Medical Release","0","1","0.00%"
"Community Corrections","0","2227","10.50%"
"Other Custody","0","207","0.98%"
"University of MS Medical Center","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","84","0.40%"
"TOTAL","20747","21219","100.00%"
