"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5768","5704","38.64%"
"Central Mississippi Correctional Facility","3233","3231","21.89%"
"South Mississippi Correctional Institution","2214","2045","13.86%"
"County Jails - Approved*","2176","1893","12.83%"
"County Jails - Unapproved**","0","249","1.69%"
"Community Work Centers","1816","1638","11.10%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15207","14760","100.00%"
"Bolivar County Correctional Facility","250","245","8.92%"
"Carroll County Correctional Facility","250","249","9.07%"
"GeorgeCounty Correctional Facility","250","246","8.96%"
"Holmes County Correctional Facility","250","248","9.03%"
"Issaquena County Correctional Facility","250","253","9.21%"
"Jefferson County Correctional Facility","250","251","9.14%"
"Kemper County Correctional Facility","250","250","9.10%"
"Leake Correctional Facility","250","248","9.03%"
"Marion County Correctional Facility","250","255","9.29%"
"Stone County Correctional Facility","250","251","9.14%"
"Winston County Correctional Facility","250","250","9.10%"
"Regional Facilities","2750","2746","100.00%"
"East MS Correctional Facility","1000","728","21.20%"
"Marshall County Correctional Facility","1000","991","28.86%"
"Walnut Grove Correctional Facility","750","718","20.91%"
"Wilkinson County Correctional Facility","1000","997","29.03%"
"TOTAL PRIVATE PRISONS","3750","3434","100.00%"
"Community Trusties","30","22","0.09%"
"Emergency Suspension","0","0","0.02%"
"Court Order","00","50","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","21737","20967","88.33%"
"Intensive Supervision Program","0","1281","5.40%"
"Earned Release Supervision Program","0","1224","5.16%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2505","10.55%"
"Other Custody","0","220","0.93%"
"University of MS Medical Center","0","0","0.00%"
"At Large (Escapees & Walk-Aways)","0","46","0.19%"
"TOTAL","21737","23738","100.00%"
