"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3335","13.81%"
"Central Mississippi Correctional Facility","3557","2531","10.48%"
"South Mississippi Correctional Institution","3282","3200","13.25%"
"Youthful Offender Facility","42","44","0.18%"
"County Jails - Approved*","1973","1354","5.61%"
"County Jails - Unapproved**","0","112","0.46%"
"Community Work Centers","1870","1132","4.69%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15372","11708","48.47%"
"Alcorn County Correctional Facility","360","296","1.23%"
"Bolivar County Correctional Facility","369","366","1.52%"
"Carroll County Correctional Facility","280","275","1.14%"
"Chickasaw County Correctional Facility","362","298","1.23%"
"George County Correctional Facility","280","276","1.14%"
"Holmes County Correctional Facility","276","279","1.16%"
"Issaquena County Correctional Facility","274","272","1.13%"
"Jefferson County Correctional Facility","280","279","1.16%"
"Kemper County Correctional Facility","355","346","1.43%"
"Leake County Correctional Facility","280","282","1.17%"
"Marion County Correctional Facility","280","280","1.16%"
"Stone County Correctional Facility","280","280","1.16%"
"Washington County Correctional Facility","300","296","1.23%"
"Winston County Correctional Facility","280","279","1.16%"
"Yazoo County Correctional Facility","300","298","1.23%"
"TOTAL REGIONAL FACILITIES","4556","4402","18.22%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1200","4.97%"
"Marshall County Correctional Facility","1000","981","4.06%"
"Walnut Grove Correctional Facility","1500","1254","5.19%"
"Wilkinson County Correctional Facility","1000","860","3.56%"
"TOTAL PRIVATE PRISONS","5972","4295","17.78%"
"Community Trusties","0","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","62",".26%"
"Court Order","0","241","1.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","25900","20721","85.78%"
"Intensive Supervision Program","0","1495","6.19%"
"Earned Release Supervision Program","0","1394","5.77%"
"Medical Release","0","25","0.10%"
"TOTAL COMMUNITY CORRECTIONS","0","2914","12.06%"
"Other Custody","0","482","2.00%"
"Off-Grounds Medical (Hospital)","0000","7",".03%"
"At Large (Escapees & Walk-Aways)","0","31",".13%"
"TOTAL","25900","24155","100.00%"
