"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5768","5704","40.56%"
"Central Mississippi Correctional Facility","3233","3188","22.67%"
"South Mississippi Correctional Institution","2214","2151","15.30%"
"County Jails - Approved*","2176","1549","11.01%"
"County Jails - Unapproved**","0","59","0.42%"
"Community Work Centers","1816","1412","10.04%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15207","14063","100.00%"
"Bolivar County Correctional Facility","250","239","9.23%"
"Carroll County Correctional Facility","250","236","9.11%"
"GeorgeCounty Correctional Facility","250","237","9.15%"
"Holmes County Correctional Facility","250","235","9.07%"
"Issaquena County Correctional Facility","250","230","8.88%"
"Jefferson County Correctional Facility","250","237","9.15%"
"Kemper County Correctional Facility","250","236","9.11%"
"Leake Correctional Facility","250","235","9.07%"
"Marion County Correctional Facility","250","236","9.11%"
"Stone County Correctional Facility","250","237","9.15%"
"Winston County Correctional Facility","250","232","8.96%"
"TOTAL REGIONAL FACILITIES","2750","2590","100.00%"
"East MS Correctional Facility","1000","731","21.02%"
"Marshall County Correctional Facility","1000","995","28.61%"
"Walnut Grove Correctional Facility","750","759","21.82%"
"Wilkinson County Correctional Facility","1000","993","28.55%"
"TOTAL PRIVATE PRISONS","3750","3478","100.00%"
"Community Trusties","30","23","0.10%"
"Emergency Suspension","0","4","0.02%"
"Court Order","0","353","1.50%"
"TOTAL CAPACITY & CUSTODY POPULATION","21737","20511","87.44%"
"Intensive Supervision Program","0","1406","5.99%"
"Earned Release Supervision Program","0","1182","5.04%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2588","11.03%"
"Other Custody","0","198","0.84%"
"University of MS Medical Center","0","3","0.01%"
"At Large (Escapees & Walk-Aways)","0","156","0.67%"
"TOTAL","21737","23456","100.00%"
