"location","capacity","count","percent_of_total",""
"Mississippi State Penitentiary","3,590","2,096","9.92%",""
"Central Mississippi Correctional Facility","4,094","3,592","16.99%",""
"South Mississippi Correctional Institution","3,082","2,613","12.36%",""
"Youthful Offender Facility","58","20","0.09%",""
"County Jails - Approved","1,781","695","3.29%",""
"County Jails - Unapproved","0","464","2.20%",""
"Community Work Centers","1,154","502","2.37%",""
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,759","9,982","47.23%",""
"Regional Correctional Facilities","","","",""
"Alcorn County Correctional Facility","300","294","1.39%",""
"Bolivar County Correctional Facility","369","285","1.35%",""
"Carroll County Correctional Facility","280","262","1.24%",""
"Chickasaw County Correctional Facility","310","305","1.44%",""
"George County Correctional Facility","280","331","1.57%",""
"Holmes County Correctional Facility","280","267","1.26%",""
"Issaquena County Correctional Facility","274","310","1.47%","`"
"Jefferson County Correctional Facility","280","264","1.25%",""
"Kemper County Correctional Facility","355","324","1.53%",""
"Leake County Correctional Facility","280","261","1.23%",""
"Marion County Correctional Facility","280","389","1.84%",""
"Stone County Correctional Facility","326","276","1.31%",""
"Washington County Correctional Facility","300","140","0.66%",""
"Winston County Correctional Facility","280","254","1.20%",""
"Yazoo County Correctional Facility","300","291","1.38%",""
"TOTAL REGIONAL FACILITIES","4,494","4,253","20.12%",""
"Private Prisons","","","",""
"Delta Correctional Facility","972","0","0.00%",""
"East MS Correctional Facility","1,500","1,202","5.69%",""
"Marshall County Correctional Facility","1,000","989","4.68%",""
"Tallahatchie County Correctional Facility","1,500","849","4.02%",""
"Wilkinson County Correctional Facility","1,000","865","4.09%",""
"TOTAL PRIVATE PRISONS","5,972","3,905","18.47%",""
"Community Trusties","0","5",".02%"
"Emergency Suspension","0","537","2.54%"
"Pending File Review","0","115",".54%"
"TVC","0","63",".30%"
"Transitional Housing","0","12",".06%"
"Court Order","0","195",".92%"
"RRP","0","72",".34%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,225","19,139","90.55%"
"Intensive Supervision Program","0","926","4.38%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","537","2.54%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","17","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1,489","7.04%"
"Other Custody","0","476","2.25%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","24,225","21,137","100.00%"
