"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4527","4205","28.96%"
"Central Mississippi Correctional Facility","3665","3724","25.65%"
"South Mississippi Correctional Institution","3204","3127","21.53%"
"County Jails - Approved*","1643","1379","9.50%"
"County Jails - Unapproved**","0","296","2.04%"
"Community Work Centers","1848","1790","12.33%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14887","14521","100.00%"
"Bolivar County Correctional Facility","294","294","9.55%"
"Carroll County Correctional Facility","280","279","9.06%"
"George County Correctional Facility","280","279","9.06%"
"Holmes County Correctional Facility","280","280","9.09%"
"Issaquena County Correctional Facility","274","274","8.90%"
"Jefferson County Correctional Facility","280","277","8.99%"
"Kemper County Correctional Facility","280","279","9.06%"
"Leake County Correctional Facility","280","280","9.09%"
"Marion County Correctional Facility","280","278","9.03%"
"Stone County Correctional Facility","280","280","9.09%"
"Winston County Correctional Facility","280","280","9.09%"
"TOTAL REGIONAL FACILITIES","3088","3080","100.00%"
"Delta Correctional Facility","972","974","20.27%"
"East MS Correctional Facility","1000","897","18.67%"
"Marshall County Correctional Facility","1000","999","20.79%"
"Walnut Grove Correctional Facility","1000","953","19.83%"
"Wilkinson County Correctional Facility","1000","982","20.44%"
"TOTAL PRIVATE PRISONS","4972","4805","100.00%"
"Community Trusties","022","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","105","0.40%"
"Court Order","0","298","1.14%"
"TOTAL CAPACITY & CUSTODY POPULATION","22969","22827","87.10%"
"Intensive Supervision Program","0","1192","4.55%"
"Earned Release Supervision Program","00","1779","6.79%"
"Medical Release","0","32","0.12%"
"TOTAL COMMUNITY CORRECTIONS","00","3003","11.46%"
"Other Custody","0","306","1.17%"
"Off-Grounds Medical (Hospital)","0","11","0.04%"
"At Large (Escapees & Walk-Aways)","0","61","0.23%"
"TOTAL","22969","26208","100.00%"
