"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3103","14.81%"
"Central Mississippi Correctional Facility","2923","2303","10.99%"
"South Mississippi Correctional Institution","2682","2520","12.03%"
"Youthful Offender Facility","58","23","0.11%"
"County Jails - Approved*","2006","791","3.78%"
"County Jails - Unapproved**","0","226","1.08%"
"Community Work Centers","1870","1143","5.46%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13129","10109","48.25%"
"Alcorn County Correctional Facility","300","298","1.42%"
"Bolivar County Correctional Facility","369","367","1.75%"
"Carroll County Correctional Facility","280","262","1.25%"
"Chickasaw County Correctional Facility","300","300","1.43%"
"George County Correctional Facility","280","256","1.22%"
"Holmes County Correctional Facility","280","261","1.25%"
"Issaquena County Correctional Facility","274","256","1.22%"
"Jefferson County Correctional Facility","280","260","1.24%"
"Kemper County Correctional Facility","355","336","1.60%"
"Leake County Correctional Facility","280","267","1.27%"
"Marion County Correctional Facility","280","274","1.31%"
"Stone County Correctional Facility","280","277","1.32%"
"Washington County Correctional Facility","300","225","1.07%"
"Winston County Correctional Facility","280","267","1.27%"
"Yazoo County Correctional Facility","300","292","1.39%"
"TOTAL REGIONAL FACILITIES","4438","4198","20.04%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1132","5.40%"
"Marshall County Correctional Facility","1000","992","4.73%"
"Walnut Grove Correctional Facility","1500","918","4.38%"
"Wilkinson County Correctional Facility","1000","839","4.00%"
"TOTAL PRIVATE PRISONS","5972","3881","18.52%"
"Community Trusties","0","14",".07%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","80",".38%"
"Court Order","0","190",".91%"
"TOTAL CAPACITY & CUSTODY POPULATION","23539","18472","88.17%"
"Intensive Supervision Program","0","1038","4.95%"
"Earned Release Supervision Program","0","858","4.10%"
"Medical Release","0","16","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1912","9.13%"
"Other Custody","0","531","2.53%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","27","0.13%"
"TOTAL","23539","20951","100.00%"
