"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5751","5663","40.52%"
"Central Mississippi Correctional Facility","3233","3125","22.36%"
"South Mississippi Correctional Institution","2214","2107","15.08%"
"County Jails - Approved*","2133","1696","12.14%"
"County Jails - Unapproved**","0","67","0.48%"
"Community Work Centers","1350","1317","9.42%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14681","13975","100.00%"
"Bolivar County Correctional Facility","250","235","9.08%"
"Carroll County Correctional Facility","250","236","9.12%"
"GeorgeCounty Correctional Facility","250","235","9.08%"
"Holmes County Correctional Facility","250","236","9.12%"
"Issaquena County Correctional Facility","250","236","9.12%"
"Jefferson County Correctional Facility","250","237","9.15%"
"Kemper County Correctional Facility","250","233","9.00%"
"Leake Correctional Facility","250","235","9.08%"
"Marion County Correctional Facility","250","236","9.12%"
"Stone County Correctional Facility","250","235","9.08%"
"Winston County Correctional Facility","250","235","9.08%"
"REGIONAL FACILITIES","2750","2589","100.00%"
"East MS Correctional Facility","1000","684","20.18%"
"Marshall County Correctional Facility","1000","989","29.17%"
"Walnut Grove Correctional Facility","750","723","21.33%"
"Wilkinson County Correctional Facility","1000","994","29.32%"
"TOTAL PRIVATE PRISONS","3750","3390","100.00%"
"Community Trusties","30","18","0.08%"
"Emergency Suspension","0","6","0.03%"
"Court Order","0","365","1.57%"
"TOTAL CAPACITY & CUSTODY POPULATION","21211","20343","87.27%"
"Intensive Supervision Program","0","1456","6.25%"
"Earned Release Supervision Program","0","1171","5.02%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2627","11.27%"
"Other Custody","0","237","1.02%"
"University of MS Medical Center","0","8","0.03%"
"At Large (Escapees & Walk-Aways)","0","96","0.41%"
"TOTAL","21211","23311","100.00%"
