"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3285","25.28%"
"Central Mississippi Correctional Facility","3665","3119","24.01%"
"South Mississippi Correctional Institution","3282","3176","24.45%"
"County Jails - Approved*","1753","1275","9.81%"
"County Jails - Unapproved**","0","582","4.48%"
"Community Work Centers","1848","1555","11.97%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15196","12992","100.00%"
"Alcorn County Correctional Facility","300","292","6.87%"
"Bolivar County Correctional Facility","294","294","6.91%"
"Carroll County Correctional Facility","280","278","6.54%"
"Chickasaw County Correctional Facility","300","293","6.89%"
"George County Correctional Facility","280","278","6.54%"
"Holmes County Correctional Facility","280","279","6.56%"
"Issaquena County Correctional Facility","274","275","6.47%"
"Jefferson County Correctional Facility","280","279","6.56%"
"Kemper County Correctional Facility","355","340","8.00%"
"Leake County Correctional Facility","280","278","6.54%"
"Marion County Correctional Facility","280","279","6.56%"
"Stone County Correctional Facility","280","281","6.61%"
"Washington County Correctional Facility","300","228","5.36%"
"Winston County Correctional Facility","280","278","6.54%"
"Yazoo County Correctional Facility","300","300","7.06%"
"TOTAL REGIONAL FACILITIES","4363","4252","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1358","32.43%"
"Marshall County Correctional Facility","1000","973","23.24%"
"Walnut Grove Correctional Facility","1500","971","23.19%"
"Wilkinson County Correctional Facility","1000","885","21.14%"
"TOTAL PRIVATE PRISONS","5972","4187","100.00%"
"Community Trusties","22","10",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","67",".26%"
"Court Order","0","393","1.54%"
"TOTAL CAPACITY & CUSTODY POPULATION","25553","21901","85.64%"
"Intensive Supervision Program","0","1549","6.06%"
"Earned Release Supervision Program","00","1619","6.33%"
"Medical Release","0","22",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3190","12.47%"
"Other Custody","0000","438","1.71%"
"Off-Grounds Medical (Hospital)","0","5",".02%"
"At Large (Escapees & Walk-Aways)","0","38",".15%"
"TOTAL","25553","25572","100.00%"
