"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3269","15.59%"
"Central Mississippi Correctional Facility","2824","2493","11.89%"
"South Mississippi Correctional Institution","2882","2732","13.03%"
"Youthful Offender Facility","58","29","0.14%"
"County Jails - Approved*","1780","730","3.48%"
"County Jails - Unapproved**","0","306","1.46%"
"Community Work Centers","1864","941","4.49%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","12998","10500","50.07%"
"Alcorn County Correctional Facility","300","0","0.00%"
"Bolivar County Correctional Facility","369","361","1.72%"
"Carroll County Correctional Facility","280","272","1.30%"
"Chickasaw County Correctional Facility","300","262","1.25%"
"George County Correctional Facility","280","271","1.29%"
"Holmes County Correctional Facility","280","270","1.29%"
"Issaquena County Correctional Facility","274","267","1.27%"
"Jefferson County Correctional Facility","280","279","1.33%"
"Kemper County Correctional Facility","355","351","1.67%"
"Leake County Correctional Facility","280","276","1.32%"
"Marion County Correctional Facility","280","279","1.33%"
"Stone County Correctional Facility","280","275","1.31%"
"Washington County Correctional Facility","300","231","1.10%"
"Winston County Correctional Facility","280","265","1.26%"
"Yazoo County Correctional Facility","300","297","1.42%"
"TOTAL REGIONAL FACILITIES","4438","3956","18.86%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1146","5.46%"
"Marshall County Correctional Facility","1000","1000","4.77%"
"Walnut Grove Correctional Facility","1500","936","4.46%"
"Wilkinson County Correctional Facility","1000","850","4.05%"
"TOTAL PRIVATE PRISONS","5972","3932","18.75%"
"Community Trusties","16","16",".08%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","91",".43%"
"Court Order","0","256","1.22%"
"TOTAL CAPACITY & CUSTODY POPULATION","23408","18751","89.41%"
"Intensive Supervision Program","0","810","3.86%"
"Earned Release Supervision Program","0","834","3.98%"
"Medical Release","0","12","0.06%"
"Conditional Release","0","2","0.01%"
"TOTAL COMMUNITY CORRECTIONS","0","1658","7.91%"
"Other Custody","0","527","2.51%"
"Off-Grounds Medical (Hospital)","0","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","23408","20972","100.00%"
