"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3393","25.47%"
"Central Mississippi Correctional Facility","3557","3254","24.43%"
"South Mississippi Correctional Institution","3282","3208","24.08%"
"Youthful Offender Facility","42","31","0.23%"
"County Jails - Approved*","1872","1548","11.62%"
"County Jails - Unapproved**","0","374","2.81%"
"Community Work Centers","1848","1514","11.36%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15249","13322","100.00%"
"Alcorn County Correctional Facility","300","295","6.67%"
"Bolivar County Correctional Facility","369","367","8.30%"
"Carroll County Correctional Facility","280","279","6.31%"
"Chickasaw County Correctional Facility","300","300","6.79%"
"George County Correctional Facility","280","281","6.36%"
"Holmes County Correctional Facility","280","279","6.31%"
"Issaquena County Correctional Facility","274","274","6.20%"
"Jefferson County Correctional Facility","280","278","6.29%"
"Kemper County Correctional Facility","355","359","8.12%"
"Leake County Correctional Facility","280","280","6.33%"
"Marion County Correctional Facility","280","279","6.31%"
"Stone County Correctional Facility","280","278","6.29%"
"Washington County Correctional Facility","300","293","6.63%"
"Winston County Correctional Facility","280","280","6.33%"
"Yazoo County Correctional Facility","300","299","6.76%"
"TOTAL REGIONAL FACILITIES","4438","4421","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1119","26.01%"
"Marshall County Correctional Facility","1000","999","23.22%"
"Walnut Grove Correctional Facility","1500","1295","30.10%"
"Wilkinson County Correctional Facility","1000","889","20.66%"
"TOTAL PRIVATE PRISONS","5972","4302","100.00%"
"Community Trusties","22","9",".03%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","88",".33%"
"Court Order","0","387","1.47%"
"TOTAL CAPACITY & CUSTODY POPULATION","25681","22529","85.41%"
"Intensive Supervision Program","0","1605","6.08%"
"Earned Release Supervision Program","0","1681","6.37%"
"Medical Release","0","25",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3311","12.55%"
"Other Custody","0","498","1.89%"
"Off-Grounds Medical (Hospital)","0000","9",".03%"
"At Large (Escapees & Walk-Aways)","0","32",".12%"
"TOTAL","25681","26379","100.00%"
