"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3356","3222","26.00%"
"Central Mississippi Correctional Facility","3449","3213","25.92%"
"South Mississippi Correctional Institution","3204","3158","25.48%"
"County Jails - Approved*","1608","1192","9.62%"
"County Jails - Unapproved**","0","204","1.65%"
"Community Work Centers","1848","1405","11.34%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13465","12394","100.00%"
"Bolivar County Correctional Facility","294","232","7.68%"
"Carroll County Correctional Facility","280","225","7.45%"
"Chickasaw County Correctional Facility","300","248","8.21%"
"George County Correctional Facility","280","222","7.35%"
"Holmes County Correctional Facility","280","224","7.41%"
"Issaquena County Correctional Facility","274","219","7.25%"
"Jefferson County Correctional Facility","280","223","7.38%"
"Kemper County Correctional Facility","355","283","9.37%"
"Leake County Correctional Facility","280","224","7.41%"
"Marion County Correctional Facility","280","224","7.41%"
"Stone County Correctional Facility","280","223","7.38%"
"Winston County Correctional Facility","280","225","7.45%"
"Yazoo County Correctional Facility","300","249","8.24%"
"TOTAL REGIONAL FACILITIES","3763","3021","100.00%"
"Delta Correctional Facility","972","903","17.53%"
"East MS Correctional Facility","1500","1336","25.94%"
"Marshall County Correctional Facility","1000","922","17.90%"
"Walnut Grove Correctional Facility","1500","1105","21.45%"
"Wilkinson County Correctional Facility","1000","885","17.18%"
"TOTAL PRIVATE PRISONS","5972","5151","100.00%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","172",".70%"
"Court Order","0","291","1.18%"
"TOTAL CAPACITY & CUSTODY POPULATION","23222","21042","85.46%"
"Intensive Supervision Program","0","1637","6.65%"
"Earned Release Supervision Program","0","1467","5.96%"
"Medical Release","00","40",".16%"
"TOTAL COMMUNITY CORRECTIONS","00","3144","12.77%"
"Other Custody","0","389","1.58%"
"Off-Grounds Medical (Hospital)","0","93",".04%"
"At Large (Escapees & Walk-Aways)","00","8",".15%"
"TOTAL","23222","24622","100.00%"
