"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5612","5265","40.13%"
"Central Mississippi Correctional Facility","3049","2948","22.47%"
"South Mississippi Correctional Institution","2214","2141","16.32%"
"County Jails - Approved*","2146","1435","10.94%"
"County Jails - Unapproved**","0","62","0.47%"
"Community Work Centers","1320","1269","9.67%"
"State, County Jails, & CWC Facilities","14341","13120","100.00%"
"Bolivar County Correctional Facility","250","207","10.07%"
"Carroll County Correctional Facility","250","217","10.55%"
"Holmes County Correctional Facility","250","200","9.73%"
"Issaquena County Correctional Facility","250","195","9.48%"
"Jefferson County Correctional Facility","250","214","10.41%"
"Kemper County Correctional Facility","250","220","10.70%"
"Leake Correctional Facility","250","200","9.73%"
"Marion County Correctional Facility","250","206","10.02%"
"Stone County Correctional Facility","250","199","9.68%"
"Winston County Correctional Facility","250","198","9.63%"
"Regional Facilities","2500","2056","100.00%"
"Delta Correctional Facility","1000","840","23.95%"
"East MS Correctional Facility","500","492","14.03%"
"Marshall County Correctional Facility","1000","864","24.63%"
"Walnut Grove Correctional Facility","500","419","11.94%"
"Wilkinson County Correctional Facility","900","893","25.46%"
"Private Prisons","3900","3508","100.00%"
"Community Trusties","30","24","0.11%"
"Emergency Suspension","0","4","0.02%"
"Court Order","0","163","0.76%"
"TOTAL CAPACITY & CUSTODY POPULATION","20771","18875","88.20%"
"Intensive Supervision Program","0","1244","5.81%"
"Earned Release Supervision Program","0","983","4.59%"
"Medical Release","0","1","0.00%"
"Community Corrections","0","2228","10.41%"
"Other Custody","0","208","0.97%"
"University of MS Medical Center","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","85","0.40%"
"TOTAL","20771","21401","100.00%"
