"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5551","5260","40.45%"
"Central Mississippi Correctional Facility","3049","2895","22.26%"
"South Mississippi Correctional Institution","2214","2073","15.94%"
"County Jails - Approved*","2137","1449","11.14%"
"County Jails - Unapproved**","0","29","0.22%"
"Community Work Centers","1328","1299","9.99%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14279","13005","100.00%"
"Bolivar County Correctional Facility","250","5","0.25%"
"Carroll County Correctional Facility","250","234","11.57%"
"Holmes County Correctional Facility","250","219","10.83%"
"Issaquena County Correctional Facility","250","216","10.68%"
"Jefferson County Correctional Facility","250","229","11.33%"
"Kemper County Correctional Facility","250","238","11.77%"
"Leake Correctional Facility","250","218","10.78%"
"Marion County Correctional Facility","250","230","11.37%"
"Stone County Correctional Facility","250","220","10.88%"
"Winston County Correctional Facility","250","213","10.53%"
"Regional Facilities","2500","2022","100.00%"
"Delta Correctional Facility","1000","854","23.51%"
"East MS Correctional Facility","500","497","13.68%"
"Marshall County Correctional Facility","1000","889","24.48%"
"Walnut Grove Correctional Facility","500","501","13.79%"
"Wilkinson County Correctional Facility","900","891","24.53%"
"TOTAL PRIVATE PRISONS","3900","3632","100.00%"
"Community Trusties","30","22","0.10%"
"Emergency Suspension","0","2","0.01%"
"Court Order","0","210","0.97%"
"TOTAL CAPACITY & CUSTODY POPULATION","20709","18893","87.70%"
"Intensive Supervision Program","0","1319","6.12%"
"Earned Release Supervision Program","0","1042","4.84%"
"Medical Release","0","1","0.00%"
"Community Corrections","0","2362","10.96%"
"Other Custody","0","202","0.94%"
"University of MS Medical Center","0","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","80","0.37%"
"TOTAL","20709","21543","100.00%"
