"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,527","4,220","29.54%"
"Central Mississippi Correctional Facility","3,665","3,624","25.37%"
"South Mississippi Correctional Institution","3,204","3,130","21.91%"
"County Jails - Approved*","1,662","1,333","9.33%"
"County Jails - Unapproved**","0","224","1.57%"
"Community Work Centers","1,848","1,753","12.27%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,906","14,284","100.00%"
"Bolivar County Correctional Facility","294","283","9.34%"
"Carroll County Correctional Facility","280","278","9.17%"
"George County Correctional Facility","280","278","9.17%"
"Holmes County Correctional Facility","280","266","8.78%"
"Issaquena County Correctional Facility","274","272","8.97%"
"Jefferson County Correctional Facility","280","272","8.97%"
"Kemper County Correctional Facility","280","278","9.17%"
"Leake County Correctional Facility","280","278","9.17%"
"Marion County Correctional Facility","280","275","9.07%"
"Stone County Correctional Facility","280","276","9.11%"
"Winston County Correctional Facility","280","275","9.07%"
"TOTAL REGIONAL FACILITIES","3,088","3,031","100.00%"
"Delta Correctional Facility","972","967","20.20%"
"East MS Correctional Facility","1,000","888","18.55%"
"Marshall County Correctional Facility","1,000","993","20.75%"
"Walnut Grove Correctional Facility","1,000","948","19.81%"
"Wilkinson County Correctional Facility","1,000","990","20.69%"
"TOTAL PRIVATE PRISONS","4,972","4,786","100.00%"
"Community Trusties","022","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","102","0.39%"
"Court Order","0","350","1.35%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,988","22,571","87.33%"
"Intensive Supervision Program","0","1,153","4.46%"
"Earned Release Supervision Program","00","1,730","6.69%"
"Medical Release","0","14","0.05%"
"TOTAL COMMUNITY CORRECTIONS","00","2,897","11.21%"
"Other Custody","0","309","1.20%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","0","66","0.26%"
"TOTAL","22,988","25,847","100.00%"
