"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5631","5309","41.42%"
"Central Mississippi Correctional Facility","3049","2982","23.27%"
"South Mississippi Correctional Institution","2214","2011","15.69%"
"County Jails - Approved*","2104","1167","9.11%"
"County Jails - Unapproved**","0","72","0.56%"
"Community Work Centers","1320","1275","9.95%"
"State, County Jails, & CWC Facilities","14318","12816","100.00%"
"Bolivar County Correctional Facility","250","197","9.91%"
"Carroll County Correctional Facility","250","199","10.02%"
"Holmes County Correctional Facility","250","199","10.02%"
"Issaquena County Correctional Facility","250","192","9.66%"
"Jefferson County Correctional Facility","250","200","10.07%"
"Kemper County Correctional Facility","250","196","9.86%"
"Leake Correctional Facility","250","201","10.12%"
"Marion County Correctional Facility","250","200","10.07%"
"Stone County Correctional Facility","250","200","10.07%"
"Winston County Correctional Facility","250","203","10.22%"
"Regional Facilities","2500","1987","100.00%"
"Delta Correctional Facility","1000","756","23.51%"
"East MS Correctional Facility","500","498","15.49%"
"Marshall County Correctional Facility","1000","735","22.85%"
"Walnut Grove Correctional Facility","500","350","10.88%"
"Wilkinson County Correctional Facility","900","877","27.27%"
"Private Prisons","3900","3216","100.00%"
"Community Trusties","30","24","0.12%"
"Emergency Suspension","0","2","0.01%"
"Court Order","0","210","1.02%"
"TOTAL CAPACITY & CUSTODY POPULATION","20748","18255","88.31%"
"Intensive Supervision Program","0","1203","5.82%"
"Earned Release Supervision Program""0",,"936","4.53%"
"Medical Release","0","2","0.01%"
"Community Corrections","0","2141","10.36%"
"Other Custody","0","201","0.97%"
"University of MS Medical Center","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","70","0.34%"
"TOTAL","20748","20672","100.00%"
