"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3369","25.03%"
"Central Mississippi Correctional Facility","3557","3284","24.40%"
"South Mississippi Correctional Institution","3282","3207","23.83%"
"Youthful Offender Facility","42","28","0.21%"
"County Jails - Approved*","1872","1497","11.12%"
"County Jails - Unapproved**","0","532","3.95%"
"Community Work Centers","1848","1543","11.46%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15249","13460","100.00%"
"Alcorn County Correctional Facility","300","297","6.81%"
"Bolivar County Correctional Facility","369","370","8.49%"
"Carroll County Correctional Facility","280","280","6.42%"
"Chickasaw County Correctional Facility","300","298","6.84%"
"George County Correctional Facility","280","278","6.38%"
"Holmes County Correctional Facility","280","279","6.40%"
"Issaquena County Correctional Facility","274","275","6.31%"
"Jefferson County Correctional Facility","280","280","6.42%"
"Kemper County Correctional Facility","355","336","7.71%"
"Leake County Correctional Facility","280","278","6.38%"
"Marion County Correctional Facility","280","279","6.40%"
"Stone County Correctional Facility","280","279","6.40%"
"Washington County Correctional Facility","300","255","5.85%"
"Winston County Correctional Facility","280","277","6.35%"
"Yazoo County Correctional Facility","300","298","6.84%"
"TOTAL REGIONAL FACILITIES","4438","4359","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1119","25.98%"
"Marshall County Correctional Facility","1000","997","23.15%"
"Walnut Grove Correctional Facility","1500","1290","29.95%"
"Wilkinson County Correctional Facility","1000","901","20.92%"
"TOTAL PRIVATE PRISONS","5972","4307","100.00%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","53",".20%"
"Court Order","0","337","1.28%"
"TOTAL CAPACITY & CUSTODY POPULATION","25681","22529","85.48%"
"Intensive Supervision Program","0","1608","6.10%"
"Earned Release Supervision Program","0","1666","6.32%"
"Medical Release","0","27",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3301","12.53%"
"Other Custody","0","480","1.82%"
"Off-Grounds Medical (Hospital)","0000","12",".05%"
"At Large (Escapees & Walk-Aways)","0","33",".13%"
"TOTAL","25681","26355","100.00%"
