"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3249","15.42%"
"Central Mississippi Correctional Facility","4094","3488","16.56%"
"South Mississippi Correctional Institution","3082","2655","12.60%"
"Youthful Offender Facility","58","23","0.11%"
"County Jails - Approved","1781","734","3.48%"
"County Jails - Unapproved","0","360","1.71%"
"Community Work Centers","1154","591","2.81%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13759","11100","52.69%"
"Alcorn County Correctional Facility","300","297","1.41%"
"Bolivar County Correctional Facility","369","290","1.38%"
"Carroll County Correctional Facility","280","272","1.29%"
"Chickasaw County Correctional Facility","310","310","1.47%"
"George County Correctional Facility","280","335","1.59%"
"Holmes County Correctional Facility","280","279","1.32%"
"Issaquena County Correctional Facility","274","320","1.52%"
"Jefferson County Correctional Facility","280","280","1.33%"
"Kemper County Correctional Facility","355","350","1.66%"
"Leake County Correctional Facility","280","280","1.33%"
"Marion County Correctional Facility","280","280","1.33%"
"Stone County Correctional Facility","326","279","1.32%"
"Washington County Correctional Facility","300","174","0.83%"
"Winston County Correctional Facility","280","274","1.30%"
"Yazoo County Correctional Facility","300","299","1.42%"
"TOTAL REGIONAL FACILITIES","4494","4319","20.50%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1277","6.06%"
"Marshall County Correctional Facility","1000","980","4.65%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","937","4.45%"
"TOTAL PRIVATE PRISONS","5972","3194","15.16%"
"Community Trusties","0","8",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","67",".32%"
"TVC","0","82",".39%"
"Transitional Housing","0","41",".19%"
"Court Order","0","230","1.09%"
"RRP","0","78",".37%"
"TOTAL CAPACITY & CUSTODY POPULATION","24225","19119","90.76%"
"Intensive Supervision Program","0","826","3.92%"
"Conditional Release","0","2","0.01%"
"Earned Release Supervision Program","0","563","2.67%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1411","6.70%"
"Other Custody","0","500","2.37%"
"Off-Grounds Medical (Hospital)","0","12","0.06%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","24225","21066","100.00%"
