"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3389","15.75%"
"Central Mississippi Correctional Facility","3506","3065","14.24%"
"South Mississippi Correctional Institution","3082","2990","13.89%"
"Youthful Offender Facility","58","33","0.15%"
"County Jails - Approved*","1986","929","4.32%"
"County Jails - Unapproved**","0","376","1.75%"
"Community Work Centers","1700","927","4.31%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13922","11709","54.41%"
"Alcorn County Correctional Facility","240","237","1.10%"
"Bolivar County Correctional Facility","369","293","1.36%"
"Carroll County Correctional Facility","280","237","1.10%"
"Chickasaw County Correctional Facility","300","240","1.12%"
"George County Correctional Facility","280","202","0.94%"
"Holmes County Correctional Facility","280","198","0.92%"
"Issaquena County Correctional Facility","274","268","1.25%"
"Jefferson County Correctional Facility","280","271","1.26%"
"Kemper County Correctional Facility","355","260","1.21%"
"Leake County Correctional Facility","280","200","0.93%"
"Marion County Correctional Facility","280","200","0.93%"
"Stone County Correctional Facility","280","240","1.12%"
"Washington County Correctional Facility","300","223","1.04%"
"Winston County Correctional Facility","280","192","0.89%"
"Yazoo County Correctional Facility","300","240","1.12%"
"TOTAL REGIONAL FACILITIES","4378","3501","16.27%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1143","5.31%"
"Marshall County Correctional Facility","1000","999","4.64%"
"Walnut Grove Correctional Facility","1500","830","3.86%"
"Wilkinson County Correctional Facility","1000","898","4.17%"
"TOTAL PRIVATE PRISONS","5972","3870","17.98%"
"Community Trusties","16","47",".22%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","102",".47%"
"Court Order","0","264","1.23%"
"TOTAL CAPACITY & CUSTODY POPULATION","24272","19493","90.58%"
"Intensive Supervision Program","0","724","3.36%"
"Earned Release Supervision Program","0","722","3.35%"
"Transitional Housing","0","1","0.00%"
"Conditional Release","0","2","0.01%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1463","6.80%"
"Other Custody","0","530","2.46%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","24272","21521","100.00%"
