"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4527","4190","29.35%"
"Central Mississippi Correctional Facility","3665","3671","25.71%"
"South Mississippi Correctional Institution","3204","3118","21.84%"
"County Jails - Approved*","1638","1417","9.92%"
"County Jails - Unapproved**","0","191","1.34%"
"Community Work Centers","1848","1691","11.84%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14882","14278","100.00%"
"Bolivar County Correctional Facility","294","294","9.58%"
"Carroll County Correctional Facility","280","280","9.12%"
"George County Correctional Facility","280","280","9.12%"
"Holmes County Correctional Facility","280","280","9.12%"
"Issaquena County Correctional Facility","274","273","8.89%"
"Jefferson County Correctional Facility","280","272","8.86%"
"Kemper County Correctional Facility","280","278","9.06%"
"Leake County Correctional Facility","280","278","9.06%"
"Marion County Correctional Facility","280","278","9.06%"
"Stone County Correctional Facility","280","279","9.09%"
"Winston County Correctional Facility","280","278","9.06%"
"TOTAL REGIONAL FACILITIES","3088","3070","100.00%"
"Delta Correctional Facility","972","969","20.23%"
"East MS Correctional Facility","1000","892","18.62%"
"Marshall County Correctional Facility","1000","999","20.85%"
"Walnut Grove Correctional Facility","1000","947","19.77%"
"Wilkinson County Correctional Facility","1000","984","20.54%"
"TOTAL PRIVATE PRISONS","4972","4791","100.00%"
"Community Trusties","2","19","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","251","0.96%"
"Court Order","0","357","1.37%"
"TOTAL CAPACITY & CUSTODY POPULATION","22964","22766","87.20%"
"Intensive Supervision Program","0","1156","4.43%"
"Earned Release Supervision Program","0","1792","6.86%"
"Medical Release","00","21","0.08%"
"TOTAL COMMUNITY CORRECTIONS","00","2969","11.37%"
"Other Custody","0","305","1.17%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","0","63","0.24%"
"TOTAL","22964","26107","100.00%"
