"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3301","15.75%"
"Central Mississippi Correctional Facility","3750","3557","16.97%"
"South Mississippi Correctional Institution","3082","3035","14.48%"
"Youthful Offender Facility","58","35","0.17%"
"County Jails - Approved","1781","712","3.40%"
"County Jails - Unapproved","0","327","1.56%"
"Community Work Centers","1154","666","3.18%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11633","55.50%"
"Alcorn County Correctional Facility","300","239","1.14%"
"Bolivar County Correctional Facility","369","291","1.39%"
"Carroll County Correctional Facility","280","269","1.28%"
"Chickasaw County Correctional Facility","310","245","1.17%"
"George County Correctional Facility","280","198","0.94%"
"Holmes County Correctional Facility","280","202","0.96%"
"Issaquena County Correctional Facility","274","264","1.26%"
"Jefferson County Correctional Facility","280","269","1.28%"
"Kemper County Correctional Facility","355","259","1.24%"
"Leake County Correctional Facility","280","264","1.26%"
"Marion County Correctional Facility","280","270","1.29%"
"Stone County Correctional Facility","326","204","0.97%"
"Washington County Correctional Facility","300","200","0.95%"
"Winston County Correctional Facility","280","262","1.25%"
"Yazoo County Correctional Facility","300","240","1.14%"
"TOTAL REGIONAL FACILITIES","4494","3676","17.54%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1304","6.22%"
"Marshall County Correctional Facility","1000","996","4.75%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","949","4.53%"
"TOTAL PRIVATE PRISONS","5972","3249","15.50%"
"Community Trusties","0","6",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","00","146",".70%"
"TVC","0","37",".18%"
"Transitional Housing","0","35","0.2%"
"Court Order","0","232","1.11%"
"RRP","0","117",".56%"
"TOTAL CAPACITY & CUSTODY POPULATION","23881","19131","91.27%"
"Intensive Supervision Program","0","744","3.55%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","571","2.72%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","16","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1340","6.39%"
"Other Custody","","453","2.16%"
"Off-Grounds Medical (Hospital)","00","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","27","0.13%"
"TOTAL","23881","20962","100.00%"
