"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,590","3,385","15.97%"
"Central Mississippi Correctional Facility","2,876","2,758","13.01%"
"South Mississippi Correctional Institution","2,882","2,792","13.17%"
"Youthful Offender Facility","58","30","0.14%"
"County Jails - Approved*","1,986","891","4.20%"
"County Jails - Unapproved**","0","378","1.78%"
"Community Work Centers","1,864","1,003","4.73%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,256","11,237","53.02%"
"Alcorn County Correctional Facility","240","238","1.12%"
"Bolivar County Correctional Facility","369","295","1.39%"
"Carroll County Correctional Facility","280","240","1.13%"
"Chickasaw County Correctional Facility","300","238","1.12%"
"George County Correctional Facility","280","199","0.94%"
"Holmes County Correctional Facility","280","201","0.95%"
"Issaquena County Correctional Facility","274","240","1.13%"
"Jefferson County Correctional Facility","280","239","1.13%"
"Kemper County Correctional Facility","355","259","1.22%"
"Leake County Correctional Facility","280","200","0.94%"
"Marion County Correctional Facility","280","200","0.94%"
"Stone County Correctional Facility","280","200","0.94%"
"Washington County Correctional Facility","300","231","1.09%"
"Winston County Correctional Facility","280","199","0.94%"
"Yazoo County Correctional Facility","300","240","1.13%"
"TOTAL REGIONAL FACILITIES","4,378","3,419","16.13%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,129","5.33%"
"Marshall County Correctional Facility","1,000","995","4.69%"
"Walnut Grove Correctional Facility","1,500","933","4.40%"
"Wilkinson County Correctional Facility","1,000","879","4.15%"
"TOTAL PRIVATE PRISONS","5,972","3,936","18.57%"
"Community Trusties","16","17",".08%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","78",".37%"
"Court Order","0","277","1.31%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,606","18,964","89.48%"
"Intensive Supervision Program","0","800","3.77%"
"Earned Release Supervision Program","0","855","4.03%"
"Medical Release","0","12","0.06%"
"Conditional Release","0","2","0.01%"
"TOTAL COMMUNITY CORRECTIONS","0","1,669","7.88%"
"Other Custody","0","523","2.47%"
"Off-Grounds Medical (Hospital)","0","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","23,606","21,193","100.00%"
