"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4892","4796","34.67%"
"Central Mississippi Correctional Facility","3233","3045","22.01%"
"South Mississippi Correctional Institution","2214","2150","15.54%"
"County Jails - Approved*","2209","1898","13.72%"
"County Jails - Unapproved**","0","274","1.98%"
"Community Work Centers","1816","1669","12.07%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14364","13832","100.00%"
"Bolivar County Correctional Facility","250","251","9.14%"
"Carroll County Correctional Facility","250","252","9.17%"
"George County Correctional Facility","250","250","9.10%"
"Holmes County Correctional Facility","250","247","8.99%"
"Issaquena County Correctional Facility","250","250","9.10%"
"Jefferson County Correctional Facility","250","249","9.06%"
"Kemper County Correctional Facility","250","251","9.14%"
"Leake Correctional Facility","250","249","9.06%"
"Marion County Correctional Facility","250","252","9.17%"
"Stone County Correctional Facility","250","250","9.10%"
"Winston County Correctional Facility","250","246","8.96%"
"REGIONAL FACILITIES","2750","2747","100.00%"
"Delta Correctional Facility","960","959","20.95%"
"East MS Correctional Facility","1000","865","18.89%"
"Marshall County Correctional Facility","1000","995","21.73%"
"Walnut Grove Correctional Facility","1000","763","16.67%"
"Wilkinson County Correctional Facility","1000","996","21.76%"
"TOTAL PRIVATE PRISONS","4960","4578","100.00%"
"Community Trusties","30","19","0.08%"
"Emergency Suspension","00","00","0.00%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22104","21176","87.78%"
"Intensive Supervision Program","0","1306","5.41%"
"Earned Release Supervision Program","0","1362","5.65%"
"Medical Release","00","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","00","2668","11.06%"
"Other Custody","0","233","0.97%"
"University of MS Medical Center","0","0","0.00%"
"At Large (Escapees & Walk-Aways)","0","46","0.19%"
"TOTAL","22104","24123","100.00%"
