"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3261","26.02%"
"Central Mississippi Correctional Facility","3449","3219","25.68%"
"South Mississippi Correctional Institution","3204","3175","25.33%"
"County Jails - Approved*","1543","1155","9.22%"
"County Jails - Unapproved**","0","207","1.65%"
"Community Work Centers","1848","1516","12.10%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14479","12533","100.00%"
"Bolivar County Correctional Facility","294","235","7.85%"
"Carroll County Correctional Facility","280","223","7.45%"
"Chickasaw County Correctional Facility","300","233","7.78%"
"George County Correctional Facility","280","223","7.45%"
"Holmes County Correctional Facility","280","224","7.48%"
"Issaquena County Correctional Facility","274","219","7.31%"
"Jefferson County Correctional Facility","280","223","7.45%"
"Kemper County Correctional Facility","355","283","9.45%"
"Leake County Correctional Facility","280","227","7.58%"
"Marion County Correctional Facility","280","224","7.48%"
"Stone County Correctional Facility","280","224","7.48%"
"Winston County Correctional Facility","280","224","7.48%"
"Yazoo County Correctional Facility","300","233","7.78%"
"TOTAL REGIONAL FACILITIES","3763","2995","100.00%"
"Delta Correctional Facility","972","900","17.20%"
"East MS Correctional Facility","1500","1355","25.89%"
"Marshall County Correctional Facility","1000","896","17.12%"
"Walnut Grove Correctional Facility","1500","1197","22.87%"
"Wilkinson County Correctional Facility","1000","885","16.91%"
"TOTAL PRIVATE PRISONS","5972","5233","100.00%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","00","134",".54%"
"Court Order","0","249","1.01%"
"TOTAL CAPACITY & CUSTODY POPULATION","24236","21157","85.59%"
"Intensive Supervision Program","0","1652","6.68%"
"Earned Release Supervision Program","00","1447","5.85%"
"Medical Release","0","43",".17%"
"TOTAL COMMUNITY CORRECTIONS","00","3142","12.71%"
"Other Custody","0","371","1.50%"
"Off-Grounds Medical (Hospital)","0","93",".04%"
"At Large (Escapees & Walk-Aways)","00","9",".16%"
"TOTAL","24236","24718","100.00%"
