"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3788","28.78%"
"Central Mississippi Correctional Facility","3449","3268","24.83%"
"South Mississippi Correctional Institution","3204","3111","23.63%"
"County Jails - Approved*","1458","1016","7.72%"
"County Jails - Unapproved**","0","269","2.04%"
"Community Work Centers","1848","1711","13.00%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14394","13163","100.00%"
"Bolivar County Correctional Facility","294","236","9.34%"
"Carroll County Correctional Facility","280","224","8.87%"
"George County Correctional Facility","280","222","8.79%"
"Holmes County Correctional Facility","280","226","8.95%"
"Issaquena County Correctional Facility","274","219","8.67%"
"Jefferson County Correctional Facility","280","222","8.79%"
"Kemper County Correctional Facility","355","281","11.12%"
"Leake County Correctional Facility","280","225","8.91%"
"Marion County Correctional Facility","280","225","8.91%"
"Stone County Correctional Facility","280","224","8.87%"
"Winston County Correctional Facility","280","222","8.79%"
"TOTAL REGIONAL FACILITIES","3163","2526","100.00%"
"Delta Correctional Facility","972","903","17.34%"
"East MS Correctional Facility","1500","1262","24.23%"
"Marshall County Correctional Facility","1000","896","17.20%"
"Walnut Grove Correctional Facility","1500","1196","22.96%"
"Wilkinson County Correctional Facility","1000","951","18.26%"
"TOTAL PRIVATE PRISONS","5972","5208","100.00%"
"Community Trusties","2","19","0.08%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","127","0.52%"
"Court Order","0","210","0.85%"
"TOTAL CAPACITY & CUSTODY POPULATION","23551","21253","86.23%"
"Intensive Supervision Program","0","1516","6.15%"
"Earned Release Supervision Program","0","1435","5.82%"
"Medical Release","0","40","0.16%"
"TOTAL COMMUNITY CORRECTIONS","00","2991","12.14%"
"Other Custody","0","351","1.42%"
"Off-Grounds Medical (Hospital)","00","8","0.03%"
"At Large (Escapees & Walk-Aways)","0","43","0.17%"
"TOTAL","23551","24646","100.00%"
